Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,95.14,95.50,94.17,94.27,201600,94.27
2013-05-30,93.95,95.50,93.26,95.21,132300,95.21
2013-05-29,92.51,94.41,92.05,93.40,218600,93.40
2013-05-28,92.50,93.30,91.73,92.96,254000,92.96
2013-05-24,92.59,92.59,91.25,91.67,88700,91.67
2013-05-23,91.51,92.87,90.63,92.83,163400,92.83
2013-05-22,96.29,97.13,91.96,92.74,278400,92.74
2013-05-21,95.81,97.29,95.47,96.01,215300,96.01
2013-05-20,95.44,96.61,94.58,95.53,126900,95.53
2013-05-17,95.60,95.70,94.00,95.44,140000,95.44
2013-05-16,94.77,95.53,94.50,94.80,106100,94.80
2013-05-15,92.37,95.36,92.19,95.12,214400,95.12
2013-05-14,92.30,93.66,92.04,93.59,213700,93.59
2013-05-13,92.70,92.73,90.61,91.90,255700,91.90
2013-05-10,89.60,92.87,89.60,92.30,204200,92.30
2013-05-09,91.16,92.78,90.45,92.00,213900,92.00
2013-05-08,90.27,91.09,88.26,90.95,259400,90.95
2013-05-07,89.82,90.71,87.85,90.18,364100,90.18
2013-05-06,84.97,90.43,84.30,90.18,558800,90.18
2013-05-03,83.95,85.24,83.27,84.79,182100,84.79
2013-05-02,81.93,83.41,81.24,83.22,191600,83.22
2013-05-01,82.26,82.45,80.59,81.74,330100,81.74
2013-04-30,82.40,83.34,82.02,82.54,242500,82.54
2013-04-29,82.04,83.32,81.57,83.19,539900,83.19
2013-04-26,80.13,82.38,79.44,81.55,495600,81.55
2013-04-25,74.33,80.74,73.45,80.08,477800,80.08
2013-04-24,73.16,74.94,73.03,74.32,226000,74.32
2013-04-23,71.88,73.02,71.54,72.98,336300,72.98
2013-04-22,72.62,72.62,70.70,71.65,225600,71.65
2013-04-19,73.08,73.63,72.00,72.39,163800,72.39
2013-04-18,75.25,75.26,72.65,72.93,421800,72.93
2013-04-17,75.99,76.06,74.10,75.27,220900,75.27
2013-04-16,75.60,76.30,75.45,76.18,299900,76.18
2013-04-15,76.34,76.90,74.75,75.43,447500,75.43
2013-04-12,76.56,77.18,75.94,76.55,233100,76.55
2013-04-11,76.37,78.00,76.25,77.01,362800,77.01
2013-04-10,75.99,77.25,75.52,76.21,236500,76.21
2013-04-09,75.71,76.96,75.40,75.97,320000,75.97
2013-04-08,73.19,75.95,72.76,75.84,369800,75.84
2013-04-05,70.02,73.98,69.48,73.65,374900,73.65
2013-04-04,69.38,71.22,69.38,70.93,231000,70.93
2013-04-03,70.59,70.59,68.94,69.51,324100,69.51
2013-04-02,69.46,71.69,69.46,70.72,359800,70.72
2013-04-01,69.44,70.00,67.95,69.43,253600,69.43
2013-03-28,70.26,70.87,69.01,69.75,317500,69.75
2013-03-27,68.92,70.84,68.64,70.43,223200,70.43
2013-03-26,67.67,69.48,67.32,69.20,264700,69.20
2013-03-25,70.15,70.41,66.97,67.35,371500,67.35
2013-03-22,71.33,71.92,69.46,69.88,208200,69.88
2013-03-21,71.14,72.39,70.12,70.70,267500,70.70
2013-03-20,73.00,73.48,70.51,71.32,592600,71.32
2013-03-19,76.17,78.58,71.73,71.80,847800,71.80
2013-03-18,79.00,79.40,75.66,75.90,385400,75.90
2013-03-15,81.75,82.42,79.32,79.45,303600,79.45
2013-03-14,81.25,82.58,81.09,81.75,286600,81.75
2013-03-13,83.25,83.44,81.03,81.03,212800,81.03
2013-03-12,82.19,84.31,82.19,83.34,212000,83.34
2013-03-11,83.00,84.21,82.24,82.40,168500,82.40
2013-03-08,82.39,84.53,82.20,83.72,310400,83.72
2013-03-07,81.48,82.84,80.55,82.46,209500,82.46
2013-03-06,83.95,84.47,80.86,81.73,157800,81.73
2013-03-05,82.27,84.98,82.12,83.79,176500,83.79
2013-03-04,81.57,82.52,80.86,82.23,253500,82.23
2013-03-01,81.61,82.14,79.17,81.91,156900,81.91
2013-02-28,79.51,84.50,77.79,81.54,453200,81.54
2013-02-27,75.59,79.35,75.57,78.84,299200,78.84
2013-02-26,76.87,77.94,75.00,75.45,271900,75.45
2013-02-25,78.64,79.34,77.26,77.38,245700,77.38
2013-02-22,80.44,81.00,78.02,78.59,362200,78.59
2013-02-21,85.00,85.00,80.62,80.76,283100,80.76
2013-02-20,86.90,87.34,84.00,85.00,175700,85.00
2013-02-19,87.87,88.47,86.67,87.04,148900,87.04
2013-02-15,87.13,89.61,85.75,87.73,134600,87.73
2013-02-14,91.55,92.28,87.27,87.44,241900,87.44
2013-02-13,83.82,93.41,83.82,91.01,705300,91.01
2013-02-12,85.82,85.97,83.65,83.86,279300,83.86
2013-02-11,86.00,86.60,84.76,85.57,131100,85.57
2013-02-08,86.97,87.59,85.60,86.05,77100,86.05
2013-02-07,87.51,87.78,86.38,87.08,95900,87.08
2013-02-06,88.00,88.04,87.28,87.74,132100,87.74
2013-02-05,88.01,89.07,87.42,87.97,86700,87.97
2013-02-04,88.83,89.15,87.04,87.84,74300,87.84
2013-02-01,88.64,90.00,87.91,89.37,121600,89.37
2013-01-31,85.73,90.53,85.40,87.87,343800,87.87
2013-01-30,86.97,87.40,85.76,86.29,220400,86.29
2013-01-29,87.37,88.21,87.14,87.64,233800,87.64
2013-01-28,91.39,92.22,87.70,88.04,142600,88.04
2013-01-25,92.19,92.80,90.44,91.59,99600,91.59
2013-01-24,92.76,94.12,91.30,92.59,144300,92.59
2013-01-23,93.60,93.81,91.84,93.20,108600,93.20
2013-01-22,93.01,94.19,92.63,93.94,77700,93.94
2013-01-18,94.34,95.08,92.29,93.26,104700,93.26
2013-01-17,94.36,95.71,93.45,94.92,55600,94.92
2013-01-16,95.88,97.85,93.86,94.51,124400,94.51
2013-01-15,94.75,96.56,94.60,96.02,110300,96.02
2013-01-14,95.00,96.72,93.57,94.92,136800,94.92
2013-01-11,93.79,95.05,92.69,94.63,144600,94.63
2013-01-10,91.35,94.41,90.31,93.57,181300,93.57
2013-01-09,91.96,92.45,90.02,91.37,155200,91.37
2013-01-08,87.74,91.73,86.99,91.53,312800,91.53
2013-01-07,87.15,88.87,85.05,87.51,262400,87.51
2013-01-04,86.38,87.31,84.19,86.87,228000,86.87
2013-01-03,87.63,89.71,85.14,85.54,176000,85.54
2013-01-02,87.62,89.38,86.66,87.76,223900,87.76
2012-12-31,85.21,87.07,85.00,86.65,115100,86.65
2012-12-28,85.37,86.30,84.66,85.75,176800,85.75
2012-12-27,84.32,86.47,83.08,85.76,155100,85.76
2012-12-26,86.29,86.50,84.34,84.56,128500,84.56
2012-12-24,87.51,87.81,86.51,86.62,40300,86.62
2012-12-21,87.83,88.98,86.85,87.59,170300,87.59
2012-12-20,89.50,90.54,88.44,89.26,177100,89.26
2012-12-19,93.89,93.89,88.34,89.25,493300,89.25
2012-12-18,94.76,94.96,91.85,93.76,233600,93.76
2012-12-17,95.10,95.72,93.62,94.37,281400,94.37
2012-12-14,99.65,101.49,94.60,95.05,434200,95.05
2012-12-13,106.05,107.22,104.05,104.85,258700,104.85
2012-12-12,102.42,108.92,102.25,106.73,530800,106.73
2012-12-11,103.78,104.39,102.00,102.69,131500,102.69
2012-12-10,103.25,106.93,102.95,103.30,152500,103.30
2012-12-07,101.59,109.24,101.37,103.02,414900,103.02
2012-12-06,97.35,102.57,97.35,101.19,188100,101.19
2012-12-05,100.10,100.10,96.25,97.93,403300,97.93
2012-12-04,102.83,104.54,99.84,100.65,270600,100.65
2012-12-03,107.30,108.23,103.42,104.12,145800,104.12
2012-11-30,107.13,107.94,105.17,106.33,144200,106.33
2012-11-29,103.94,108.00,103.77,106.33,238800,106.33
2012-11-28,104.61,104.86,101.52,103.73,163300,103.73
2012-11-27,101.70,108.90,99.89,104.68,441700,104.68
2012-11-26,103.34,104.44,101.48,101.93,156800,101.93
2012-11-23,105.65,106.00,102.63,103.97,88100,103.97
2012-11-21,104.42,106.36,103.01,105.85,138200,105.85
2012-11-20,105.63,106.07,103.22,104.47,96700,104.47
2012-11-19,105.32,106.94,102.78,105.50,248900,105.50
2012-11-16,100.14,104.18,99.17,103.87,230100,103.87
2012-11-15,101.44,102.00,97.01,100.52,357100,100.52
2012-11-14,104.23,105.15,101.50,102.44,291200,102.44
2012-11-13,106.01,109.78,105.29,105.51,185000,105.51
2012-11-12,109.11,112.34,106.65,107.15,173100,107.15
2012-11-09,111.00,113.07,108.14,109.58,146500,109.58
2012-11-08,112.00,115.15,110.68,111.99,171600,111.99
2012-11-07,105.05,114.43,104.72,111.94,295400,111.94
2012-11-06,107.68,108.58,105.42,106.60,186700,106.60
2012-11-05,111.25,112.54,100.75,107.63,484100,107.63
2012-11-02,110.63,114.87,109.85,111.00,113300,111.00
2012-11-01,112.28,115.12,108.78,110.34,265100,110.34
2012-10-31,114.80,116.27,112.10,113.50,166600,113.50
2012-10-26,115.06,116.59,111.88,115.41,312800,115.41
2012-10-25,122.07,127.50,114.75,115.90,965800,115.90
2012-10-24,109.81,129.72,109.75,124.33,937800,124.33
