Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,417.01,419.23,408.65,408.83,388500,408.83
2013-05-30,416.95,421.79,416.95,417.94,177700,417.94
2013-05-29,416.11,418.30,412.17,416.75,130900,416.75
2013-05-28,418.74,420.55,415.40,418.95,137900,418.95
2013-05-24,416.00,418.66,413.47,415.81,135000,415.81
2013-05-23,417.08,420.36,415.01,418.90,330200,418.90
2013-05-22,426.76,426.76,416.72,417.72,339300,417.72
2013-05-21,413.16,435.36,413.16,427.84,740600,427.84
2013-05-20,410.37,414.00,401.93,409.05,327200,409.05
2013-05-17,413.94,415.59,410.14,411.29,247000,411.29
2013-05-16,416.97,418.23,412.72,413.50,184100,413.50
2013-05-15,417.81,419.57,416.70,418.28,191300,418.28
2013-05-14,418.07,419.64,416.13,417.56,235300,417.56
2013-05-13,408.21,416.39,408.00,415.76,335700,415.76
2013-05-10,416.62,423.46,416.59,420.95,313800,420.95
2013-05-09,418.99,419.80,414.29,415.33,121300,415.33
2013-05-08,418.01,419.82,416.60,419.27,189300,419.27
2013-05-07,413.44,419.01,411.50,418.95,170900,418.95
2013-05-06,410.93,413.50,410.03,413.49,189500,413.49
2013-05-03,409.55,413.00,407.29,411.11,167000,411.11
2013-05-02,409.29,410.86,405.26,407.58,210600,407.58
2013-05-01,409.19,413.28,408.27,410.28,199400,410.28
2013-04-30,404.05,409.25,400.74,409.09,289900,409.09
2013-04-29,406.56,408.50,402.30,403.87,183200,403.87
2013-04-26,398.81,408.50,398.14,406.73,363000,406.73
2013-04-25,393.00,402.10,390.00,398.26,422000,398.26
2013-04-24,384.65,386.00,381.84,383.95,211300,383.95
2013-04-23,379.82,384.57,378.85,383.62,300100,383.62
2013-04-22,379.85,380.68,375.57,378.76,326900,378.76
2013-04-19,379.49,382.05,375.12,378.43,325100,378.43
2013-04-18,383.10,383.65,375.94,379.01,438800,379.01
2013-04-17,382.29,384.08,378.65,381.93,322800,381.93
2013-04-16,386.00,387.48,379.79,384.59,387100,384.59
2013-04-15,391.74,393.74,384.64,384.87,328700,384.87
2013-04-12,390.24,395.13,390.24,393.57,173300,393.57
2013-04-11,390.45,396.89,388.05,392.83,182700,392.83
2013-04-10,385.30,394.09,385.30,389.98,356700,389.98
2013-04-09,392.00,392.99,382.98,384.03,577800,384.03
2013-04-08,397.00,399.53,392.74,395.36,220100,395.36
2013-04-05,397.82,399.45,394.59,397.20,246700,397.20
2013-04-04,395.11,402.09,394.00,401.83,211800,401.83
2013-04-03,401.30,401.30,393.61,393.98,513700,393.98
2013-04-02,394.26,402.08,394.26,400.99,368200,400.99
2013-04-01,396.01,397.80,392.76,393.19,157700,393.19
2013-03-28,393.24,396.79,391.05,396.77,537600,396.77
2013-03-27,392.58,394.64,389.59,393.94,189200,393.94
2013-03-26,394.48,394.48,388.63,394.04,345000,394.04
2013-03-25,396.19,396.19,391.46,393.33,263900,393.33
2013-03-22,394.18,396.11,392.26,395.72,175800,395.72
2013-03-21,394.38,395.65,391.35,393.26,173200,393.26
2013-03-20,392.08,397.10,390.79,396.00,294100,396.00
2013-03-19,392.39,392.66,387.78,390.41,219500,390.41
2013-03-18,390.02,392.29,388.91,391.47,175600,391.47
2013-03-15,388.33,392.75,386.56,391.89,404600,391.89
2013-03-14,391.69,392.60,389.19,389.65,318100,389.65
2013-03-13,388.25,392.59,387.60,392.04,383300,392.04
2013-03-12,388.75,390.49,386.97,388.87,392000,388.87
2013-03-11,385.28,388.47,383.74,388.33,375000,388.33
2013-03-08,381.90,385.60,379.32,385.25,350500,385.25
2013-03-07,377.48,381.60,375.29,381.52,397900,381.52
2013-03-06,382.31,383.00,375.42,376.55,428500,376.55
2013-03-05,382.00,382.99,380.82,382.32,215000,382.32
2013-03-04,378.02,381.49,377.47,380.66,316800,380.66
2013-03-01,379.13,379.50,376.70,378.14,228700,378.14
2013-02-28,376.01,380.16,375.11,380.15,459600,380.15
2013-02-27,378.08,379.88,374.33,376.79,352200,376.79
2013-02-26,377.26,381.62,369.79,376.15,986300,376.15
2013-02-25,384.63,386.64,378.54,378.54,629500,378.54
2013-02-22,377.83,385.98,377.83,385.20,512000,385.20
2013-02-21,378.59,383.64,376.42,377.56,432800,377.56
2013-02-20,375.58,380.57,374.20,379.96,577400,379.96
2013-02-19,374.45,375.39,370.64,375.21,608400,375.21
2013-02-15,375.00,375.56,369.47,373.70,646500,373.70
2013-02-14,378.50,380.50,372.94,373.61,742400,373.61
2013-02-13,382.14,384.01,377.88,379.73,538000,379.73
2013-02-12,385.35,386.94,380.79,382.09,550300,382.09
2013-02-11,384.63,387.38,384.23,385.23,523500,385.23
2013-02-08,380.32,386.40,379.58,385.89,790900,385.89
2013-02-07,377.50,383.10,374.46,379.85,1112100,379.85
2013-02-06,367.47,370.16,366.22,369.00,303600,369.00
2013-02-05,369.92,371.03,367.38,368.77,266300,368.77
2013-02-04,373.49,373.99,365.51,367.05,401700,367.05
2013-02-01,370.57,376.16,368.74,374.88,667100,374.88
2013-01-31,364.67,369.70,363.20,369.70,465900,369.70
2013-01-30,361.98,364.86,361.24,364.85,295700,364.85
2013-01-29,367.00,368.83,361.95,361.95,502200,361.95
2013-01-28,366.19,373.45,363.34,369.52,634900,369.52
2013-01-25,357.89,367.10,357.16,365.36,566400,365.36
2013-01-24,357.41,359.98,355.00,357.57,563100,357.57
2013-01-23,352.84,357.18,351.03,356.53,425100,356.53
2013-01-22,347.20,354.70,347.20,353.37,402600,353.37
2013-01-18,347.81,350.49,345.04,349.60,317500,349.60
2013-01-17,350.00,351.18,347.28,348.63,206600,348.63
2013-01-16,350.64,350.99,346.37,349.33,261500,349.33
2013-01-15,343.98,352.79,342.27,350.90,567100,350.90
2013-01-14,346.71,347.78,343.27,344.99,278300,344.99
2013-01-11,346.94,347.84,341.98,346.23,470600,346.23
2013-01-10,349.85,352.16,344.33,346.50,729300,346.50
2013-01-09,348.61,352.51,347.06,349.60,452300,349.60
2013-01-08,345.47,350.88,342.84,348.25,877500,348.25
2013-01-07,360.97,360.97,354.68,356.17,345300,356.17
2013-01-04,357.28,361.10,357.12,360.85,351500,360.85
2013-01-03,355.43,357.91,353.75,356.14,299300,356.14
2013-01-02,357.00,358.13,354.96,356.88,440800,356.88
2012-12-31,347.79,354.76,346.98,354.43,265300,354.43
2012-12-28,352.02,352.61,345.88,348.57,446800,348.57
2012-12-27,351.25,354.09,345.30,353.10,437900,353.10
2012-12-26,355.24,355.28,346.93,351.09,447900,351.09
2012-12-24,363.44,363.44,354.41,355.20,182600,355.20
2012-12-21,353.00,359.57,351.48,358.28,694900,358.28
2012-12-20,359.43,360.74,355.23,356.02,552800,356.02
2012-12-19,360.00,362.25,358.13,359.48,418300,359.48
2012-12-18,363.20,364.45,359.16,360.07,546900,360.07
2012-12-17,358.39,363.40,357.38,363.40,615600,363.40
2012-12-14,358.14,361.55,355.01,357.68,491400,357.68
2012-12-13,358.27,363.17,357.60,359.32,547400,359.32
2012-12-12,357.43,359.07,355.00,357.56,931000,357.56
2012-12-11,356.56,362.22,354.76,355.50,790600,355.50
2012-12-10,359.15,359.15,354.45,355.15,456800,355.15
2012-12-07,367.01,367.01,357.71,359.16,575000,359.16
2012-12-06,355.92,367.17,355.38,364.07,668400,364.07
2012-12-05,366.09,368.99,356.03,360.27,979600,360.27
2012-12-04,373.01,384.25,361.75,366.80,1007700,366.80
2012-12-03,384.00,384.10,377.13,378.01,491200,378.01
2012-11-30,379.70,384.02,377.79,383.77,428600,383.77
2012-11-29,381.84,382.70,377.74,379.78,485900,379.78
2012-11-28,381.80,383.86,379.95,383.86,486000,383.86
2012-11-27,390.11,390.11,378.44,382.38,336500,382.38
2012-11-26,383.62,383.99,380.12,382.93,323500,382.93
2012-11-23,383.38,383.99,381.00,383.12,104200,383.12
2012-11-21,381.57,383.75,379.90,381.87,297800,381.87
2012-11-20,382.20,383.50,377.97,381.13,330800,381.13
2012-11-19,381.57,385.01,380.52,382.30,213900,382.30
2012-11-16,372.75,381.01,370.53,380.50,725900,380.50
2012-11-15,369.87,373.82,367.88,372.78,290600,372.78
2012-11-14,375.07,376.66,368.68,369.75,282400,369.75
2012-11-13,373.01,377.91,373.01,373.55,249800,373.55
2012-11-12,376.59,380.08,374.14,374.38,254200,374.38
2012-11-09,378.39,380.95,374.89,376.89,314700,376.89
2012-11-08,383.75,385.44,378.45,378.97,338100,378.97
2012-11-07,380.48,386.25,380.48,384.37,403400,384.37
2012-11-06,384.15,385.73,381.36,385.26,356700,385.26
