Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,23.15,23.72,23.09,23.18,4218900,21.91
2013-05-30,23.14,23.60,23.06,23.20,2396200,21.93
2013-05-29,23.26,23.34,22.81,23.04,2358000,21.77
2013-05-28,23.63,23.87,23.31,23.43,2122200,22.14
2013-05-24,23.65,23.79,23.44,23.56,2005600,22.27
2013-05-23,23.57,23.94,23.45,23.86,3264600,22.55
2013-05-22,24.34,24.48,23.68,23.74,2620300,22.44
2013-05-21,24.29,24.52,24.19,24.37,1703500,23.03
2013-05-20,24.21,24.39,24.15,24.27,2061800,22.94
2013-05-17,24.16,24.37,24.08,24.30,2542500,22.96
2013-05-16,24.33,24.41,24.07,24.10,2381500,22.78
2013-05-15,24.10,24.53,24.06,24.41,2756100,23.07
2013-05-14,23.83,24.30,23.76,24.13,3969800,22.80
2013-05-13,24.10,24.19,24.00,24.08,3067400,22.56
2013-05-10,24.10,24.23,24.03,24.21,2137500,22.68
2013-05-09,23.97,24.30,23.95,24.09,3433800,22.57
2013-05-08,24.33,24.47,24.12,24.22,1998500,22.69
2013-05-07,24.25,24.42,24.19,24.38,3903800,22.84
2013-05-06,24.30,24.32,24.12,24.18,3518800,22.65
2013-05-03,24.17,24.59,23.96,24.34,5153200,22.80
2013-05-02,24.10,24.40,23.93,24.14,3701600,22.62
2013-05-01,24.68,24.73,24.27,24.34,3023000,22.80
2013-04-30,24.56,24.69,24.37,24.68,2899100,23.12
2013-04-29,24.36,24.70,24.26,24.52,2232400,22.97
2013-04-26,24.30,24.43,24.25,24.26,1515300,22.73
2013-04-25,24.34,24.44,24.22,24.32,1679500,22.79
2013-04-24,24.28,24.34,24.12,24.19,1915700,22.66
2013-04-23,24.11,24.20,23.91,24.19,1756700,22.66
2013-04-22,24.11,24.19,23.86,24.02,1734800,22.50
2013-04-19,23.84,24.16,23.75,24.14,1787500,22.62
2013-04-18,23.58,23.88,23.56,23.74,2736900,22.24
2013-04-17,23.74,23.84,23.42,23.57,3483200,22.08
2013-04-16,23.67,23.86,23.54,23.85,3585500,22.35
2013-04-15,24.00,24.04,23.51,23.51,3865900,22.03
2013-04-12,24.18,24.24,24.02,24.02,2731800,22.50
2013-04-11,24.18,24.26,24.11,24.23,1973800,22.70
2013-04-10,24.00,24.15,23.96,24.10,2946400,22.58
2013-04-09,24.15,24.20,23.92,23.94,4057700,22.43
2013-04-08,23.85,24.08,23.82,24.07,2957800,22.55
2013-04-05,23.64,23.93,23.52,23.87,3275800,22.36
2013-04-04,23.78,24.02,23.75,23.94,3438100,22.43
2013-04-03,23.98,24.04,23.66,23.73,2647100,22.23
2013-04-02,23.86,24.08,23.84,23.96,2891200,22.45
2013-04-01,23.89,23.99,23.70,23.80,2002900,22.30
2013-03-28,23.71,24.05,23.64,23.96,3165200,22.45
2013-03-27,23.60,23.80,23.56,23.67,2384900,22.18
2013-03-26,23.55,23.76,23.49,23.75,2971200,22.25
2013-03-25,23.50,23.65,23.20,23.41,3283400,21.93
2013-03-22,23.40,23.65,23.36,23.43,3480000,21.95
2013-03-21,23.00,23.47,22.95,23.44,5159800,21.96
2013-03-20,23.04,23.22,22.99,23.12,2810000,21.66
2013-03-19,23.21,23.27,22.84,22.97,3221900,21.52
2013-03-18,23.04,23.52,22.96,23.11,7814300,21.65
2013-03-15,23.84,24.01,22.83,23.41,24499700,21.93
2013-03-14,21.86,21.90,21.74,21.84,2409600,20.46
2013-03-13,21.82,21.88,21.74,21.87,1769300,20.49
2013-03-12,21.88,21.94,21.74,21.77,1797700,20.40
2013-03-11,21.80,21.92,21.76,21.85,1452900,20.47
2013-03-08,21.72,21.87,21.63,21.82,2884400,20.44
2013-03-07,21.70,21.78,21.60,21.63,2092500,20.27
2013-03-06,21.89,21.90,21.61,21.71,2227000,20.34
2013-03-05,21.71,21.95,21.68,21.86,3465500,20.48
2013-03-04,21.48,21.67,21.43,21.65,2023500,20.28
2013-03-01,21.48,21.56,21.27,21.53,3290200,20.17
2013-02-28,21.28,21.52,21.16,21.43,4961900,20.08
2013-02-27,20.75,21.53,20.75,21.23,9133900,19.89
2013-02-26,20.63,20.90,20.50,20.70,4635700,19.39
2013-02-25,20.94,21.17,20.52,20.52,3592100,19.23
