Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,112.12,112.74,109.63,109.63,3537200,107.83
2013-05-30,114.28,115.49,111.87,111.88,3459400,110.05
2013-05-29,114.53,114.65,112.74,112.95,1834000,111.10
2013-05-28,115.10,115.77,114.03,114.83,2693700,112.95
2013-05-24,112.48,114.69,112.25,114.39,1769800,112.52
2013-05-23,112.73,114.20,111.85,113.19,2225200,111.34
2013-05-22,113.33,114.72,112.93,113.38,2524300,111.52
2013-05-21,112.48,113.96,112.21,113.48,1946000,111.62
2013-05-20,113.06,113.13,111.95,112.02,1664300,110.19
2013-05-17,112.21,113.19,111.64,113.05,1678300,111.20
2013-05-16,112.59,113.00,111.22,111.51,1533600,109.68
2013-05-15,110.86,112.95,110.69,112.82,1810600,110.97
2013-05-14,110.29,111.72,109.89,111.39,1932800,109.26
2013-05-13,109.69,110.32,109.60,110.01,1246600,107.91
2013-05-10,109.41,110.15,109.17,109.99,1239600,107.89
2013-05-09,109.88,110.15,108.88,109.14,1306300,107.05
2013-05-08,109.90,110.25,109.40,109.61,863800,107.52
2013-05-07,109.02,109.78,108.66,109.71,1617400,107.61
2013-05-06,109.71,110.25,109.03,109.09,1112700,107.01
2013-05-03,109.93,110.41,109.01,109.75,1407600,107.65
2013-05-02,108.17,109.29,107.72,108.69,1442900,106.61
2013-05-01,108.13,109.00,107.96,108.22,1199400,106.15
2013-04-30,108.12,108.57,107.68,108.43,1561400,106.36
2013-04-29,109.30,109.47,108.47,108.63,1728300,106.55
2013-04-26,108.90,109.75,108.38,109.27,2146700,107.18
2013-04-25,108.35,109.34,107.80,109.13,1848100,107.04
2013-04-24,107.46,108.35,107.30,107.83,2234300,105.77
2013-04-23,105.74,107.35,105.54,107.25,1731100,105.20
2013-04-22,104.43,105.78,104.27,105.16,2048400,103.15
2013-04-19,103.20,104.65,103.20,104.45,2215600,102.45
2013-04-18,104.76,105.12,103.33,103.61,1854300,101.63
2013-04-17,104.77,105.25,104.34,104.77,1882600,102.77
2013-04-16,104.73,105.79,104.55,105.55,2796500,103.53
2013-04-15,105.45,106.22,104.13,104.21,1818400,102.22
2013-04-12,106.14,106.79,105.65,106.13,1437700,104.10
2013-04-11,105.88,106.40,105.19,106.01,2319400,103.98
2013-04-10,105.73,106.52,105.53,105.75,1757200,103.73
2013-04-09,107.25,107.28,105.59,105.79,1947300,103.77
2013-04-08,106.45,107.09,105.87,107.04,1077600,104.99
2013-04-05,105.30,105.97,104.45,105.80,1678900,103.78
2013-04-04,106.26,106.89,105.46,106.36,1575700,104.33
2013-04-03,107.50,107.74,106.00,106.36,1833200,104.33
2013-04-02,106.27,107.75,106.03,107.68,1831900,105.62
2013-04-01,106.00,106.59,105.38,105.81,1005700,103.79
2013-03-28,106.66,107.06,105.61,106.11,1672900,104.08
2013-03-27,105.24,106.77,105.04,106.64,1971500,104.60
2013-03-26,105.69,106.01,105.44,105.97,1452800,103.94
2013-03-25,105.19,105.77,104.56,105.47,2315300,103.45
2013-03-22,103.46,105.12,103.44,105.11,2036100,103.10
2013-03-21,102.85,103.97,102.68,103.52,2216900,101.54
2013-03-20,102.44,103.36,102.34,103.08,2316400,101.11
2013-03-19,101.86,102.54,101.13,102.12,2240300,100.17
2013-03-18,101.34,102.01,101.01,101.68,2138000,99.74
2013-03-15,102.55,102.99,101.51,101.75,4001800,99.81
2013-03-14,103.27,104.03,102.91,102.91,2316700,100.94
2013-03-13,103.99,104.19,102.91,103.42,2459100,101.44
2013-03-12,103.61,105.52,103.26,103.75,3795000,101.77
2013-03-11,103.55,103.69,102.35,102.44,2120800,100.48
2013-03-08,102.58,103.26,101.86,103.04,1549200,101.07
2013-03-07,103.55,103.98,101.90,101.97,2603300,100.02
2013-03-06,103.15,103.49,102.36,102.56,1254400,100.60
2013-03-05,103.68,103.88,102.75,103.15,1611700,101.18
2013-03-04,101.26,103.46,101.16,103.43,1942000,101.45
2013-03-01,100.82,101.65,100.26,101.42,1790100,99.48
2013-02-28,101.07,102.37,100.79,101.29,2213200,99.35
2013-02-27,99.67,101.54,98.95,100.73,2511000,98.80
2013-02-26,100.10,100.76,99.31,99.45,2915100,97.55
2013-02-25,101.64,102.13,100.06,100.09,1644000,98.18
2013-02-22,101.07,101.30,100.23,101.16,1576200,99.23
2013-02-21,101.17,101.42,100.26,100.69,2730500,98.77
2013-02-20,102.18,102.63,101.05,101.08,1915100,99.15
2013-02-19,102.35,102.40,101.47,101.90,1894200,99.95
2013-02-15,101.79,103.13,101.03,102.17,4239800,100.22
2013-02-14,101.04,102.06,101.01,102.02,2211200,100.07
2013-02-13,101.98,102.37,100.95,101.63,1224400,99.69
2013-02-12,102.21,102.23,101.53,101.76,1203200,99.82
2013-02-11,102.87,102.94,101.76,101.99,1457400,100.04
2013-02-08,102.38,102.96,101.81,102.79,1726400,100.83
2013-02-07,101.77,102.31,101.20,101.85,3007300,99.90
2013-02-06,102.88,103.19,100.94,101.70,3192000,99.76
2013-02-05,102.75,103.97,102.28,103.31,1842400,101.07
2013-02-04,104.11,104.11,102.34,102.48,1728600,100.25
2013-02-01,102.89,104.35,102.59,104.15,2316000,101.89
2013-01-31,102.50,103.15,102.11,102.34,1656300,100.12
2013-01-30,103.00,103.11,102.30,102.53,1939800,100.30
2013-01-29,102.15,103.53,102.10,103.36,2073100,101.11
2013-01-28,102.62,102.75,102.00,102.49,1631700,100.26
2013-01-25,102.96,103.13,102.01,102.36,1612800,100.14
2013-01-24,102.39,103.53,102.29,102.89,1515400,100.65
2013-01-23,102.30,102.75,101.77,102.12,1442800,99.90
2013-01-22,101.43,102.17,101.17,102.15,2004500,99.93
2013-01-18,100.90,101.45,100.62,101.20,2341600,99.00
2013-01-17,101.57,101.75,100.96,100.96,2095400,98.77
2013-01-16,100.73,101.61,100.65,101.53,1201700,99.32
2013-01-15,99.85,101.52,99.81,101.15,1725200,98.95
2013-01-14,100.34,101.90,99.70,100.37,2155100,98.19
2013-01-11,101.00,101.49,100.07,100.28,2206300,98.10
2013-01-10,101.35,101.50,100.13,100.74,2328500,98.55
2013-01-09,101.03,101.50,100.75,101.23,1834400,99.03
2013-01-08,101.00,101.79,100.73,101.18,2189900,98.98
2013-01-07,101.09,101.73,100.90,101.37,1663900,99.17
2013-01-04,102.55,102.91,101.55,102.16,1989000,99.94
2013-01-03,102.11,103.02,101.76,102.49,3872400,100.26
2013-01-02,100.60,101.45,100.21,101.45,3153800,99.25
2012-12-31,96.85,98.93,96.51,98.73,2412700,96.59
2012-12-28,97.17,97.89,96.94,96.97,1651300,94.86
2012-12-27,98.52,98.72,97.13,97.92,2057400,95.79
2012-12-26,99.26,99.70,98.12,98.68,1456300,96.54
2012-12-24,99.12,99.94,98.78,99.44,933700,97.28
2012-12-21,98.43,99.55,97.64,99.49,4167700,97.33
2012-12-20,99.22,99.43,98.14,99.20,1964100,97.05
2012-12-19,99.49,100.22,98.64,98.68,3153300,96.54
2012-12-18,98.90,99.96,98.64,99.86,2900500,97.69
2012-12-17,97.01,98.90,97.00,98.78,2847800,96.63
2012-12-14,97.00,97.96,96.85,96.92,2160800,94.81
2012-12-13,98.05,98.87,97.34,97.85,2715100,95.72
2012-12-12,99.02,99.39,97.25,97.72,5390300,95.60
2012-12-11,99.00,99.65,98.07,98.31,4021200,96.17
2012-12-10,98.90,99.27,98.55,98.95,2317000,96.80
2012-12-07,98.88,99.01,98.17,98.56,3093800,96.42
2012-12-06,98.44,99.63,98.08,98.47,5057500,96.33
2012-12-05,104.56,105.97,104.30,105.95,8470800,96.80
2012-12-04,104.55,104.92,104.02,104.40,3850200,95.38
2012-12-03,104.82,104.82,103.90,104.59,4268800,95.56
2012-11-30,102.48,104.50,101.66,103.92,4951400,94.95
2012-11-29,103.08,103.21,101.56,101.88,6360500,93.08
2012-11-28,100.44,102.62,100.00,102.58,10407800,93.72
2012-11-27,96.30,97.33,95.77,96.51,2428000,88.18
2012-11-26,97.36,97.53,95.83,96.26,1531200,87.95
2012-11-23,97.00,97.93,96.56,97.92,671900,89.46
2012-11-21,97.22,97.40,96.47,96.74,1045500,88.39
2012-11-20,96.79,97.12,96.20,97.12,1783200,88.73
2012-11-19,96.68,96.83,95.37,96.57,2877500,88.23
2012-11-16,95.52,96.23,94.64,95.69,3105400,87.43
2012-11-15,94.00,95.88,93.51,95.70,2445500,87.44
2012-11-14,95.60,95.97,94.16,94.47,3587500,86.31
2012-11-13,95.46,96.63,95.25,95.69,2328400,87.18
2012-11-12,95.42,96.16,95.09,95.98,1632800,87.44
2012-11-09,94.51,96.20,94.43,95.46,2542800,86.97
2012-11-08,96.96,97.44,94.74,94.74,2906000,86.31
2012-11-07,97.93,98.12,96.06,97.30,2620100,88.64
2012-11-06,97.98,99.60,97.92,98.79,2410300,90.00
2012-11-05,95.76,97.80,95.45,97.73,2199500,89.03
2012-11-02,97.85,98.12,96.04,96.12,2025500,87.57
2012-11-01,98.59,98.80,97.13,97.13,2941200,88.49
2012-10-31,97.89,98.78,97.40,98.43,3534300,89.67
2012-10-26,96.42,97.52,96.12,96.94,2998900,88.31
2012-10-25,96.00,96.63,95.77,96.62,2734800,88.02
2012-10-24,95.04,96.25,94.50,95.62,4327600,87.11
2012-10-23,94.47,95.81,93.84,95.18,3357400,86.71
2012-10-22,94.68,95.32,94.13,95.00,3097700,86.55
2012-10-19,96.10,96.23,94.46,94.78,3859900,86.35
2012-10-18,96.87,97.36,96.25,96.33,2804300,87.76
2012-10-17,97.15,97.36,95.78,96.78,4113700,88.17
2012-10-16,96.97,97.52,96.51,97.00,3788300,88.37
2012-10-15,98.07,98.13,96.44,96.51,4005200,87.92
2012-10-12,98.06,98.48,96.18,97.55,7552500,88.87
2012-10-11,101.83,102.00,98.30,98.32,4753200,89.57
2012-10-10,102.40,104.43,101.30,101.56,5739800,92.52
2012-10-09,101.35,101.77,99.56,99.64,1606500,90.77
2012-10-08,101.59,101.77,101.06,101.35,813100,92.33
2012-10-05,101.80,102.40,101.54,101.79,1192300,92.73
2012-10-04,100.00,101.69,99.96,101.48,2051800,92.45
2012-10-03,99.25,99.96,98.75,99.62,2787900,90.76
2012-10-02,100.86,101.37,99.33,99.49,2050700,90.64
2012-10-01,100.63,101.87,100.29,100.51,1873600,91.57
2012-09-28,100.22,100.46,99.75,100.16,1788700,91.25
2012-09-27,101.06,101.70,100.13,100.30,1821100,91.38
2012-09-26,101.86,102.77,100.96,101.00,1635200,92.01
2012-09-25,102.48,103.11,101.43,101.44,1790400,92.41
2012-09-24,102.75,102.95,102.22,102.61,1223800,93.48
2012-09-21,102.76,103.51,102.08,102.36,3328600,93.25
2012-09-20,101.58,102.68,101.50,102.64,1356100,93.51
2012-09-19,102.40,102.42,101.71,101.88,1664000,92.81
2012-09-18,102.20,102.21,101.70,101.99,1464100,92.91
2012-09-17,102.10,102.78,101.98,102.25,1306900,93.15
2012-09-14,102.68,102.88,101.95,102.18,3195300,93.09
2012-09-13,100.79,102.89,100.54,102.75,1901900,93.61
2012-09-12,99.99,100.96,99.50,100.89,1770600,91.91
2012-09-11,100.37,100.54,99.46,99.52,1626900,90.66
2012-09-10,99.49,100.71,99.34,100.45,1288500,91.51
2012-09-07,100.00,100.00,99.17,99.72,937600,90.85
2012-09-06,98.72,99.99,98.72,99.98,1462500,91.08
2012-09-05,98.25,98.48,97.77,98.22,1156500,89.48
2012-09-04,97.79,98.61,97.07,98.15,1184800,89.42
2012-08-31,99.28,99.28,97.71,97.87,1692600,89.16
2012-08-30,97.56,99.06,96.55,98.59,2426400,89.82
2012-08-29,95.60,97.27,95.60,97.11,1494700,88.47
2012-08-28,96.32,97.13,96.21,96.57,908000,87.98
2012-08-27,96.15,96.85,95.83,96.64,1112100,88.04
2012-08-24,94.68,96.41,94.39,96.25,1257400,87.69
2012-08-23,95.18,95.49,94.69,94.74,1155700,86.31
2012-08-22,95.33,95.98,95.05,95.53,842300,87.03
2012-08-21,95.95,96.13,95.16,95.29,1256200,86.81
2012-08-20,96.00,96.12,95.64,96.02,684400,87.48
2012-08-17,96.79,96.84,95.86,96.14,1520600,87.59
2012-08-16,96.23,96.61,95.70,96.48,1638100,87.90
2012-08-15,95.84,96.89,95.51,96.47,1082300,87.89
2012-08-14,96.00,96.00,95.37,95.67,1187400,87.16
2012-08-13,95.08,95.63,94.84,95.63,830500,87.12
2012-08-10,95.02,95.43,94.51,95.30,1214900,86.82
2012-08-09,95.82,95.90,95.05,95.37,1007000,86.88
2012-08-08,95.94,96.35,95.44,95.63,1369700,87.12
2012-08-07,96.72,96.93,95.75,95.80,1705400,87.02
2012-08-06,97.18,97.20,96.42,96.50,1071400,87.66
2012-08-03,97.00,97.38,96.71,97.21,1371600,88.31
2012-08-02,95.60,96.34,95.00,95.70,1373500,86.93
2012-08-01,96.43,97.17,95.63,95.94,2839100,87.15
2012-07-31,96.14,96.58,95.56,96.18,1361900,87.37
2012-07-30,97.11,97.30,96.14,96.46,1838100,87.62
2012-07-27,96.15,97.76,96.07,97.11,1564700,88.21
2012-07-26,94.95,96.13,94.86,95.91,1562100,87.12
2012-07-25,94.19,94.25,93.20,93.75,1462300,85.16
2012-07-24,94.52,94.52,93.43,94.08,1278300,85.46
2012-07-23,95.11,95.11,93.87,94.39,1546900,85.74
2012-07-20,95.80,96.40,95.09,95.61,2024400,86.85
2012-07-19,96.02,96.38,95.07,95.95,1602300,87.16
2012-07-18,95.68,96.43,95.52,95.96,1788400,87.17
2012-07-17,95.30,96.35,94.91,96.06,1767900,87.26
2012-07-16,94.54,95.36,94.10,95.15,1313900,86.43
2012-07-13,94.11,94.97,93.74,94.81,1510000,86.13
2012-07-12,94.09,94.24,93.11,94.02,1895200,85.41
2012-07-11,93.88,94.72,93.75,94.50,2074100,85.84
2012-07-10,94.47,94.75,93.65,93.80,1867600,85.21
2012-07-09,94.00,94.34,93.18,93.97,1511300,85.36
2012-07-06,94.06,94.70,93.46,93.68,1722000,85.10
2012-07-05,93.46,94.53,93.44,94.00,1902200,85.39
2012-07-03,94.51,94.62,94.10,94.42,1120600,85.77
2012-07-02,95.00,95.55,94.23,94.40,2279300,85.75
2012-06-29,93.51,95.11,93.43,95.00,3438000,86.30
2012-06-28,90.83,93.00,89.91,92.92,4408300,84.41
2012-06-27,91.98,92.21,91.00,91.32,2087600,82.96
2012-06-26,91.15,91.79,90.70,91.69,2600100,83.29
2012-06-25,90.75,91.25,90.39,90.87,1592600,82.55
2012-06-22,90.79,91.29,90.42,90.93,1539800,82.60
2012-06-21,91.50,92.35,90.28,90.40,2631700,82.12
2012-06-20,91.68,91.93,90.87,91.49,1929900,83.11
2012-06-19,91.93,92.67,91.44,91.86,1821400,83.45
2012-06-18,91.37,92.09,91.01,92.03,1570900,83.60
2012-06-15,90.35,91.64,90.09,91.44,3911800,83.06
2012-06-14,87.85,90.08,87.81,89.83,3117300,81.60
2012-06-13,88.11,88.41,87.25,87.43,1405000,79.42
2012-06-12,88.24,88.56,87.58,88.50,1822500,80.39
2012-06-11,89.06,89.15,87.84,87.91,1569500,79.86
2012-06-08,88.01,89.20,87.70,88.74,1888800,80.61
2012-06-07,88.05,88.70,87.95,88.13,1909700,80.06
2012-06-06,86.99,87.83,86.88,87.78,2187100,79.74
2012-06-05,86.29,86.96,85.74,86.77,2143800,78.82
2012-06-04,85.44,86.60,85.37,86.56,2404300,78.63
2012-06-01,86.00,86.16,85.17,85.49,3096100,77.66
2012-05-31,85.59,87.05,85.58,86.39,3564700,78.48
2012-05-30,85.90,86.43,85.77,85.81,3111900,77.95
2012-05-29,85.11,86.68,85.08,86.64,3151400,78.70
2012-05-25,84.90,85.07,84.00,84.48,2379600,76.74
2012-05-24,84.25,85.27,83.48,84.48,3558300,76.74
2012-05-23,82.98,83.36,82.26,83.31,2915900,75.68
2012-05-22,83.47,84.26,83.01,83.38,2244800,75.49
2012-05-21,83.19,83.88,82.75,83.73,1598800,75.81
2012-05-18,83.70,84.19,82.66,82.94,3152700,75.09
2012-05-17,84.86,85.21,83.47,83.47,2022500,75.57
2012-05-16,84.88,85.26,84.57,84.91,2149600,76.88
2012-05-15,84.10,85.14,84.08,84.58,2165200,76.58
2012-05-14,84.26,84.72,83.76,84.30,1656500,76.33
2012-05-11,83.84,85.05,83.70,84.60,2863800,76.60
2012-05-10,83.40,84.36,83.11,83.88,2600000,75.95
2012-05-09,82.22,83.10,82.10,82.62,2416000,74.80
2012-05-08,83.02,83.32,81.98,82.64,2609500,74.82
2012-05-07,83.38,83.74,83.00,83.15,2042900,75.28
2012-05-04,84.21,84.43,83.32,83.39,2796800,75.50
2012-05-03,85.86,85.94,83.94,84.24,4696600,76.27
2012-05-02,86.89,86.95,86.24,86.64,2432800,78.44
2012-05-01,86.91,88.00,86.38,86.97,2970500,78.74
2012-04-30,88.70,89.00,88.13,88.18,1790700,79.84
2012-04-27,88.39,89.22,88.14,88.69,1597500,80.30
2012-04-26,87.26,88.46,87.00,88.08,2443100,79.75
2012-04-25,86.77,87.45,86.52,87.28,2301900,79.02
2012-04-24,86.81,87.20,86.22,86.43,1796800,78.25
2012-04-23,87.22,87.30,86.39,86.62,1712500,78.43
2012-04-20,87.38,88.07,87.26,87.58,2203100,79.30
2012-04-19,87.94,87.94,86.69,87.12,1762800,78.88
2012-04-18,87.30,88.49,87.19,88.07,1620100,79.74
2012-04-17,87.17,87.86,87.14,87.67,1732900,79.38
2012-04-16,86.66,87.12,86.30,86.88,1956700,78.66
2012-04-13,86.91,87.14,86.03,86.32,2737800,78.15
2012-04-12,87.51,87.56,86.95,87.18,2509800,78.93
2012-04-11,87.50,87.59,87.06,87.32,1912600,79.06
2012-04-10,87.54,87.59,86.37,86.89,2812100,78.67
2012-04-09,87.68,88.14,87.03,87.88,1817700,79.57
2012-04-05,87.41,88.87,87.40,88.65,2752600,80.26
2012-04-04,90.14,90.50,88.97,89.04,2529400,80.62
2012-04-03,91.45,91.76,90.01,90.39,2823000,81.84
2012-04-02,90.94,92.10,90.83,91.84,2705100,83.15
2012-03-30,90.04,91.15,90.01,90.80,2556600,82.21
2012-03-29,90.16,90.72,89.33,89.84,2245600,81.34
2012-03-28,91.24,91.49,90.13,90.62,1609000,82.05
2012-03-27,91.53,91.78,90.97,91.28,1310700,82.65
2012-03-26,90.63,91.53,90.38,91.52,1884800,82.86
2012-03-23,90.49,90.63,89.83,90.27,1601400,81.73
2012-03-22,90.25,91.09,90.05,90.50,1499300,81.94
2012-03-21,90.36,90.95,90.21,90.64,1693900,82.07
2012-03-20,89.90,90.49,89.58,90.26,1500400,81.72
2012-03-19,90.75,90.76,89.58,90.02,1608300,81.50
2012-03-16,91.26,91.50,90.26,90.44,3556600,81.88
2012-03-15,90.82,91.60,90.27,91.46,1834300,82.81
2012-03-14,89.47,90.96,89.46,90.90,2066800,82.30
2012-03-13,89.78,90.00,89.29,89.98,1735400,81.47
2012-03-12,89.28,89.72,89.06,89.43,1354700,80.97
2012-03-09,88.47,89.52,88.38,89.34,1724100,80.89
2012-03-08,88.01,88.50,87.84,88.30,1614200,79.95
2012-03-07,87.90,87.93,87.20,87.89,2173900,79.58
2012-03-06,87.11,87.95,86.95,87.58,3181300,79.30
2012-03-05,86.00,87.67,85.83,87.63,3040500,79.34
2012-03-02,85.71,86.30,85.71,86.23,1956300,78.07
2012-03-01,86.54,86.79,85.69,86.16,3051100,78.01
2012-02-29,86.19,87.20,85.73,86.06,5345100,77.92
2012-02-28,85.03,85.86,84.58,85.27,3529700,77.20
2012-02-27,84.17,85.25,84.01,85.09,2344500,77.04
2012-02-24,84.99,84.99,84.05,84.40,1262000,76.42
2012-02-23,84.31,84.96,83.80,84.77,1996900,76.75
2012-02-22,84.35,84.74,83.72,84.31,1955300,76.33
2012-02-21,84.60,84.69,83.65,84.26,2345800,76.29
2012-02-17,83.94,84.51,83.80,84.47,1966300,76.48
2012-02-16,83.51,84.05,83.51,84.05,1771900,76.10
2012-02-15,84.48,84.52,83.04,83.24,1570300,75.37
2012-02-14,83.47,84.10,83.30,84.10,1186000,76.14
2012-02-13,84.55,84.61,83.24,83.87,1556200,75.94
2012-02-10,84.12,84.31,83.68,84.20,1689300,76.24
2012-02-09,84.27,84.60,84.07,84.53,1317300,76.53
2012-02-08,84.45,84.59,83.85,84.28,1662600,76.31
2012-02-07,84.66,85.00,84.38,84.56,1574900,76.34
2012-02-06,84.67,85.20,84.65,85.04,1379000,76.78
2012-02-03,86.11,86.18,84.97,85.36,2347900,77.07
2012-02-02,83.76,85.89,83.76,85.51,4697900,77.20
2012-02-01,82.92,83.94,82.78,83.22,3036300,75.13
2012-01-31,81.77,82.30,81.12,82.27,1844900,74.28
