Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,58.89,59.15,57.58,57.58,6990500,56.31
2013-05-30,59.44,59.44,58.79,58.79,3271100,57.50
2013-05-29,59.83,59.88,59.06,59.24,3809200,57.94
2013-05-28,59.71,60.70,59.71,60.21,6267400,58.89
2013-05-24,58.29,59.35,57.96,59.20,4245000,57.90
2013-05-23,58.34,58.70,57.80,58.33,4149800,57.05
2013-05-22,59.44,59.95,58.49,58.70,6008400,57.41
2013-05-21,58.97,59.67,58.96,59.51,4092100,58.20
2013-05-20,59.38,59.44,58.74,58.98,3747800,57.68
2013-05-17,59.33,59.64,59.04,59.44,4130000,58.13
2013-05-16,60.07,60.13,59.09,59.37,5505100,58.06
2013-05-15,59.99,60.66,59.58,60.35,5369100,59.02
2013-05-14,58.50,60.14,58.49,60.07,8427600,58.75
2013-05-13,57.99,58.89,57.85,58.55,6056400,57.26
2013-05-10,57.44,58.07,57.23,58.03,5089300,56.75
2013-05-09,58.31,58.40,57.20,57.49,5697200,56.23
2013-05-08,58.69,58.85,58.12,58.29,5131600,57.01
2013-05-07,57.96,58.60,57.62,58.54,4794800,57.25
2013-05-06,58.42,58.50,57.58,57.94,5150000,56.67
2013-05-03,59.33,59.37,58.50,58.64,4168700,57.35
2013-05-02,58.61,59.05,57.89,58.95,6579800,57.65
2013-05-01,58.97,59.25,58.54,58.75,8112900,57.46
2013-04-30,57.55,58.27,57.45,58.18,6759800,56.90
2013-04-29,57.94,58.00,57.37,57.44,4055800,56.18
2013-04-26,57.85,58.20,57.64,57.73,3997400,56.46
2013-04-25,57.85,58.33,57.68,57.94,6320600,56.67
2013-04-24,57.97,58.32,57.53,57.58,3631900,56.31
2013-04-23,58.23,58.50,57.58,58.02,4272300,56.74
2013-04-22,58.03,58.20,57.35,58.11,3663300,56.83
2013-04-19,57.30,58.13,56.83,58.00,6079600,56.72
2013-04-18,57.25,57.27,56.58,56.87,5519500,55.40
2013-04-17,57.44,57.78,56.99,57.21,7786300,55.73
2013-04-16,56.54,57.70,56.43,57.63,5366700,56.14
