Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,46.28,46.31,45.68,45.71,26100,45.71
2013-05-30,46.65,46.91,46.65,46.65,15100,46.65
2013-05-29,45.73,46.06,45.67,46.06,31400,46.06
2013-05-28,45.67,46.18,45.41,45.61,12200,45.61
2013-05-24,45.81,45.97,45.66,45.68,21400,45.68
2013-05-23,45.94,46.07,45.53,46.05,31500,46.05
2013-05-22,45.76,46.84,45.00,45.14,39700,45.14
2013-05-21,45.36,45.71,44.97,45.46,45600,45.46
2013-05-20,44.56,46.39,44.49,46.36,63800,46.36
2013-05-17,45.64,45.69,44.84,44.84,27000,44.84
2013-05-16,45.50,46.04,45.47,45.94,159700,45.94
2013-05-15,46.71,46.77,45.85,45.95,97400,45.95
2013-05-14,47.20,47.68,47.20,47.24,43500,47.24
2013-05-13,47.52,47.69,47.43,47.44,19800,47.44
2013-05-10,47.28,47.94,47.08,47.91,22600,47.91
2013-05-09,48.26,48.73,48.20,48.21,19100,48.21
2013-05-08,48.42,48.86,48.42,48.74,18100,48.74
2013-05-07,48.03,48.25,47.91,48.22,19600,48.22
2013-05-06,48.73,48.85,48.58,48.71,14600,48.71
2013-05-03,48.52,48.94,48.50,48.77,32400,48.77
2013-05-02,48.64,48.81,48.50,48.56,14300,48.56
2013-05-01,48.07,48.47,47.73,48.27,15600,48.27
2013-04-30,48.90,48.99,48.64,48.96,85700,48.96
2013-04-29,48.63,48.95,48.60,48.90,12100,48.90
2013-04-26,48.94,49.15,48.07,48.32,21100,48.32
2013-04-25,47.98,48.85,47.81,48.68,78700,48.68
2013-04-24,47.24,47.41,46.97,47.33,87100,47.33
2013-04-23,46.83,46.93,46.56,46.82,57900,46.82
2013-04-22,47.41,47.66,47.14,47.29,13200,47.29
2013-04-19,46.78,46.86,46.21,46.55,43500,46.55
2013-04-18,46.13,46.60,46.05,46.19,31000,46.19
2013-04-17,46.14,46.61,45.51,45.75,68400,45.75
2013-04-16,46.58,46.60,45.53,45.87,208700,45.87
2013-04-15,48.63,48.63,45.10,45.22,195600,45.22
2013-04-12,51.73,51.80,49.93,50.12,148900,50.12
2013-04-11,52.55,52.95,52.55,52.71,46400,52.71
2013-04-10,53.21,53.21,52.59,52.60,21400,52.60
2013-04-09,53.05,53.64,53.05,53.49,33600,53.49
2013-04-08,52.91,52.99,52.70,52.89,15100,52.89
2013-04-05,52.63,53.10,52.48,53.06,31900,53.06
2013-04-04,51.96,52.31,51.85,52.18,61000,52.18
2013-04-03,52.84,53.03,52.09,52.37,110800,52.37
2013-04-02,53.27,53.34,52.94,52.96,32900,52.96
2013-04-01,53.85,53.95,53.78,53.89,42800,53.89
2013-03-28,54.02,54.15,53.89,53.95,34600,53.95
2013-03-27,54.01,54.42,53.95,54.37,31300,54.37
2013-03-26,54.17,54.26,54.07,54.20,11800,54.20
2013-03-25,54.23,54.49,54.13,54.37,20000,54.37
2013-03-22,54.40,54.60,54.39,54.41,14300,54.41
2013-03-21,54.82,54.90,54.72,54.82,18600,54.82
2013-03-20,54.50,54.55,54.22,54.42,31200,54.42
2013-03-19,54.38,54.75,54.37,54.64,63600,54.64
2013-03-18,54.60,54.64,54.38,54.45,40700,54.45
2013-03-15,54.05,54.21,53.98,54.01,38700,54.01
2013-03-14,53.67,54.08,53.67,53.93,91300,53.93
2013-03-13,54.22,54.35,53.91,53.96,41600,53.96
2013-03-12,54.21,54.36,54.18,54.23,85900,54.23
2013-03-11,53.65,53.83,53.65,53.80,15300,53.80
2013-03-08,53.22,53.95,53.21,53.73,11500,53.73
2013-03-07,53.82,53.84,53.58,53.67,72600,53.67
2013-03-06,53.46,53.95,53.35,53.92,34700,53.92
2013-03-05,53.89,53.89,53.43,53.60,52500,53.60
2013-03-04,53.47,53.58,53.33,53.48,1458500,53.48
2013-03-01,53.70,53.83,53.36,53.49,188700,53.49
2013-02-28,54.05,54.11,53.45,53.61,53700,53.61
2013-02-27,54.56,54.62,54.08,54.23,117100,54.23
2013-02-26,54.19,55.05,53.80,54.85,146100,54.85
2013-02-25,53.93,54.31,53.91,54.19,20700,54.19
2013-02-22,53.44,53.75,53.27,53.75,29600,53.75
2013-02-21,53.37,53.88,53.37,53.60,38500,53.60
2013-02-20,54.10,54.10,52.99,53.20,98500,53.20
2013-02-19,54.94,54.94,54.49,54.66,44700,54.66
2013-02-15,55.24,55.30,54.63,54.95,106800,54.95
2013-02-14,56.42,56.45,55.81,55.93,18200,55.93
2013-02-13,56.54,56.54,56.21,56.26,26300,56.26
2013-02-12,56.36,56.68,56.27,56.66,91100,56.66
2013-02-11,56.63,56.63,56.36,56.57,37700,56.57
2013-02-08,57.25,57.39,57.13,57.25,75000,57.25
2013-02-07,57.13,57.69,57.11,57.39,33900,57.39
2013-02-06,57.50,57.69,57.50,57.66,34400,57.66
2013-02-05,57.83,57.83,57.33,57.52,214900,57.52
