Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,47.69,47.69,46.95,46.95,44200,46.95
2013-05-30,47.88,48.08,47.88,47.97,12900,47.97
2013-05-29,47.03,47.29,46.92,47.29,20500,47.29
2013-05-28,46.88,47.53,46.68,46.84,23100,46.84
2013-05-24,47.06,47.18,46.89,46.94,18300,46.94
2013-05-23,47.20,47.30,46.74,47.24,109000,47.24
2013-05-22,47.14,48.02,45.92,46.30,172400,46.30
2013-05-21,46.36,46.85,46.12,46.63,99800,46.63
2013-05-20,45.88,47.47,45.87,47.43,101700,47.43
2013-05-17,46.73,46.78,45.95,45.97,47500,45.97
2013-05-16,46.70,47.14,46.67,47.04,38100,47.04
2013-05-15,47.93,48.07,47.10,47.25,83900,47.25
2013-05-14,48.46,48.86,48.37,48.40,38700,48.40
2013-05-13,48.62,48.78,48.60,48.65,14100,48.65
2013-05-10,48.56,49.07,48.27,49.07,43500,49.07
2013-05-09,49.67,49.99,49.39,49.50,43500,49.50
2013-05-08,49.85,50.16,49.75,50.09,78400,50.09
2013-05-07,49.28,49.38,49.02,49.36,28500,49.36
2013-05-06,50.03,50.09,49.84,49.99,22000,49.99
2013-05-03,49.80,50.11,49.78,49.98,77500,49.98
2013-05-02,49.90,50.06,49.82,49.87,41300,49.87
2013-05-01,49.43,49.70,48.95,49.61,36200,49.61
2013-04-30,50.04,50.20,49.80,50.20,117200,50.20
2013-04-29,49.96,50.15,49.74,50.01,22500,50.01
2013-04-26,50.02,50.38,49.27,49.55,80000,49.55
2013-04-25,49.15,49.90,49.15,49.79,27000,49.79
2013-04-24,48.50,48.64,48.33,48.62,50000,48.62
2013-04-23,48.22,48.22,47.77,48.07,119400,48.07
2013-04-22,48.54,48.54,48.25,48.44,41900,48.44
2013-04-19,47.77,47.77,47.29,47.60,183900,47.60
2013-04-18,47.13,47.51,46.97,47.17,602100,47.17
2013-04-17,46.98,47.40,46.52,46.68,140300,46.68
2013-04-16,47.39,47.44,46.31,46.67,320600,46.67
2013-04-15,47.81,48.04,45.83,46.13,439200,46.13
2013-04-12,52.26,52.34,50.51,50.65,203300,50.65
2013-04-11,53.07,53.41,53.06,53.19,55600,53.19
2013-04-10,53.79,53.79,53.05,53.10,25600,53.10
2013-04-09,53.64,54.17,53.64,54.01,38500,54.01
2013-04-08,53.68,53.74,53.42,53.58,15600,53.58
2013-04-05,53.36,53.88,53.25,53.82,41900,53.82
2013-04-04,52.70,53.01,52.65,52.90,70400,52.90
2013-04-03,53.56,53.73,52.80,53.07,53400,53.07
2013-04-02,53.94,53.99,53.70,53.70,40600,53.70
2013-04-01,54.48,54.57,54.41,54.53,12500,54.53
2013-03-28,54.45,54.53,54.36,54.48,11300,54.48
2013-03-27,54.50,54.82,54.50,54.80,46400,54.80
2013-03-26,54.45,54.59,54.41,54.55,29500,54.55
2013-03-25,54.56,54.83,54.47,54.73,29700,54.73
2013-03-22,54.81,54.97,54.80,54.87,34400,54.87
2013-03-21,55.08,55.15,54.98,55.09,31300,55.09
2013-03-20,54.86,54.95,54.68,54.77,32100,54.77
2013-03-19,54.73,55.10,54.72,55.05,26400,55.05
2013-03-18,54.90,54.97,54.68,54.79,26200,54.79
2013-03-15,54.36,54.47,54.29,54.31,39200,54.31
2013-03-14,53.96,54.33,53.96,54.19,22000,54.19
2013-03-13,54.49,54.49,54.12,54.18,21000,54.18
2013-03-12,54.33,54.52,54.26,54.38,53100,54.38
2013-03-11,53.87,53.97,53.83,53.93,13900,53.93
2013-03-08,53.46,54.01,53.39,53.85,52600,53.85
2013-03-07,53.95,53.95,53.75,53.83,75000,53.83
2013-03-06,53.57,54.03,53.48,54.03,104500,54.03
2013-03-05,53.98,54.08,53.65,53.77,97100,53.77
2013-03-04,53.74,53.85,53.56,53.69,4772500,53.69
2013-03-01,54.01,54.11,53.65,53.75,207100,53.75
2013-02-28,54.33,54.33,53.75,53.94,82800,53.94
2013-02-27,54.83,54.90,54.39,54.51,111400,54.51
2013-02-26,54.45,55.30,54.18,55.13,61900,55.13
2013-02-25,54.13,54.52,54.07,54.45,769200,54.45
2013-02-22,53.59,53.94,53.59,53.94,77700,53.94
2013-02-21,53.59,54.09,53.59,53.82,742000,53.82
2013-02-20,54.31,54.31,53.24,53.41,221600,53.41
2013-02-19,54.95,54.96,54.69,54.80,150300,54.80
2013-02-15,55.18,55.27,54.59,54.96,208400,54.96
2013-02-14,56.27,56.35,55.83,55.90,31300,55.90
2013-02-13,56.35,56.35,56.10,56.16,98000,56.16
2013-02-12,56.30,56.53,56.16,56.47,68400,56.47
2013-02-11,56.46,56.48,56.30,56.41,9300,56.41
2013-02-08,57.04,57.22,57.01,57.10,67400,57.10
2013-02-07,56.99,57.54,56.99,57.21,40000,57.21
2013-02-06,57.32,57.47,57.29,57.40,16100,57.40
2013-02-05,57.55,57.55,57.04,57.23,202000,57.23
2013-02-04,57.00,57.42,56.97,57.28,66800,57.28
2013-02-01,57.48,57.54,56.86,57.06,63300,57.06
2013-01-31,57.12,57.17,56.73,56.97,77100,56.97
2013-01-30,57.53,57.63,57.32,57.35,58000,57.35
2013-01-29,56.90,57.02,56.82,56.93,68400,56.93
2013-01-28,56.64,56.79,56.59,56.65,5400,56.65
2013-01-25,56.78,56.90,56.71,56.79,86000,56.79
2013-01-24,57.24,57.35,57.02,57.11,17400,57.11
2013-01-23,57.97,57.99,57.70,57.75,25800,57.75
2013-01-22,57.84,58.08,57.83,57.92,22500,57.92
2013-01-18,57.86,57.88,57.68,57.71,40000,57.71
2013-01-17,57.28,58.17,57.26,57.80,34400,57.80
2013-01-16,57.41,57.62,57.38,57.55,56700,57.55
2013-01-15,57.59,57.72,57.45,57.50,72100,57.50
2013-01-14,57.28,57.29,57.02,57.14,25300,57.14
2013-01-11,57.26,57.26,56.65,56.97,132200,56.97
2013-01-10,57.17,57.50,57.17,57.33,73000,57.33
2013-01-09,56.84,56.85,56.61,56.80,63700,56.80
2013-01-08,56.75,56.94,56.60,56.81,53500,56.81
2013-01-07,56.34,56.52,56.34,56.42,95700,56.42
2013-01-04,56.46,56.79,56.21,56.74,352100,56.74
2013-01-03,57.52,57.62,56.94,57.07,33000,57.07
2013-01-02,57.86,58.11,57.74,57.75,505000,57.75
2012-12-31,56.94,57.58,56.92,57.35,67000,57.35
2012-12-28,56.96,56.96,56.70,56.83,105900,56.83
2012-12-27,56.72,57.08,56.68,57.06,34500,57.06
2012-12-26,57.17,57.17,56.88,56.90,27200,56.90
2012-12-24,56.94,56.97,56.83,56.85,37500,56.85
2012-12-21,56.54,56.89,56.54,56.73,248100,56.73
2012-12-20,56.56,56.66,56.08,56.54,98600,56.54
2012-12-19,57.11,57.43,57.04,57.24,64400,57.24
2012-12-18,58.20,58.24,56.97,57.36,46800,57.36
2012-12-17,58.20,58.28,58.17,58.25,29400,58.25
2012-12-14,58.17,58.25,58.11,58.12,35200,58.12
2012-12-13,58.02,58.39,58.02,58.23,72900,58.23
2012-12-12,58.91,59.10,58.71,58.79,57700,58.79
2012-12-11,58.65,58.71,58.55,58.71,14200,58.71
2012-12-10,58.86,58.86,58.74,58.77,152900,58.77
2012-12-07,58.40,58.53,58.32,58.50,45500,58.50
2012-12-06,58.02,58.48,57.97,58.31,88100,58.31
2012-12-05,58.17,58.28,57.83,58.15,140800,58.15
2012-12-04,58.10,58.39,58.04,58.26,223100,58.26
2012-12-03,58.86,59.14,58.86,58.89,70700,58.89
2012-11-30,59.16,59.24,58.71,58.84,39200,58.84
2012-11-29,59.26,59.37,59.20,59.28,101700,59.28
2012-11-28,58.65,59.14,58.62,59.04,90500,59.04
2012-11-27,59.98,60.03,59.80,59.84,29200,59.84
2012-11-26,60.10,60.16,60.04,60.10,109900,60.10
2012-11-23,59.54,60.24,59.53,60.18,64000,60.18
2012-11-21,59.25,59.42,59.21,59.40,34800,59.40
2012-11-20,59.43,59.52,59.17,59.34,11800,59.34
2012-11-19,59.50,59.60,59.35,59.53,26700,59.53
2012-11-16,58.74,58.94,58.65,58.78,92900,58.78
2012-11-15,59.21,59.21,58.62,58.89,188200,58.89
2012-11-14,59.37,59.55,59.15,59.26,23600,59.26
2012-11-13,59.07,59.54,59.07,59.26,50300,59.26
2012-11-12,59.61,59.67,59.35,59.37,24500,59.37
2012-11-09,59.67,59.76,59.45,59.51,141600,59.51
2012-11-08,58.93,59.61,58.93,59.58,21900,59.58
2012-11-07,59.15,59.24,58.52,59.05,44200,59.05
2012-11-06,58.09,59.08,58.04,58.98,49100,58.98
2012-11-05,57.80,57.93,57.78,57.91,273600,57.91
2012-11-02,58.32,58.33,57.56,57.66,123000,57.66
2012-11-01,59.23,59.23,58.91,58.91,68600,58.91
