Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,70.91,70.91,70.38,70.58,800,70.58
2013-05-30,72.26,72.26,72.13,72.17,800,72.17
2013-05-29,70.19,71.00,70.19,70.99,11800,70.99
2013-05-28,70.53,71.32,70.28,70.28,1700,70.28
2013-05-24,70.71,70.77,70.63,70.68,2300,70.68
2013-05-23,70.64,71.13,70.64,71.12,1300,71.12
2013-05-22,70.56,70.56,69.44,69.44,1600,69.44
2013-05-21,69.70,70.46,69.57,70.06,3300,70.06
2013-05-20,69.53,70.89,63.11,70.89,1100,70.89
2013-05-17,69.99,70.08,69.40,69.50,2100,69.50
2013-05-16,70.27,71.40,70.27,70.95,4800,70.95
2013-05-15,71.97,72.38,70.96,71.21,1800,71.21
2013-05-14,72.71,73.31,72.66,73.23,2800,73.23
2013-05-13,73.24,73.60,73.09,73.43,3300,73.43
2013-05-10,73.21,74.06,72.19,74.06,9800,74.06
2013-05-09,74.61,74.73,74.42,74.42,1700,74.42
2013-05-08,74.84,75.31,74.84,75.14,800,75.14
2013-05-07,73.86,74.46,73.86,74.46,1300,74.46
2013-05-06,75.29,75.29,75.29,75.29,200,75.29
2013-05-03,75.02,75.86,75.02,75.25,600,75.25
2013-05-02,75.15,75.66,75.15,75.30,600,75.30
2013-05-01,73.90,74.71,73.50,74.71,2300,74.71
2013-04-30,75.40,75.60,75.14,75.39,2900,75.39
2013-04-29,75.05,75.39,75.02,75.32,1900,75.32
2013-04-26,75.29,76.18,74.35,74.98,3600,74.98
2013-04-25,75.00,75.69,75.00,75.49,900,75.49
2013-04-24,72.98,72.98,72.46,72.92,3100,72.92
2013-04-23,72.11,72.20,71.82,72.16,2000,72.16
2013-04-22,72.67,73.69,72.67,73.01,4300,73.01
2013-04-19,71.83,72.43,71.28,71.47,5700,71.47
2013-04-18,71.03,71.88,71.03,71.04,600,71.04
2013-04-17,70.90,70.90,70.90,70.90,100,70.90
2013-04-16,72.02,72.22,71.12,71.45,11900,71.45
2013-04-15,72.86,73.00,69.97,70.41,2700,70.41
2013-04-12,80.09,80.09,78.51,78.51,1000,78.51
2013-04-11,81.89,82.32,81.89,82.30,1200,82.30
2013-04-10,82.92,82.92,81.83,81.83,1100,81.83
2013-04-09,81.78,83.33,81.78,83.26,8400,83.26
2013-04-08,80.01,82.23,80.01,82.23,12700,82.23
2013-04-05,81.45,82.03,81.45,82.03,2900,82.03
2013-04-04,80.61,80.95,80.61,80.62,1400,80.62
2013-04-03,82.11,82.11,81.08,81.08,700,81.08
2013-04-02,83.00,83.00,82.37,82.37,400,82.37
2013-04-01,83.88,83.88,83.83,83.83,600,83.83
2013-03-28,84.12,84.12,84.12,84.12,300,84.12
2013-03-27,84.51,84.62,84.51,84.62,1100,84.62
2013-03-26,84.38,84.41,84.24,84.41,1100,84.41
2013-03-25,84.33,84.84,84.32,84.84,700,84.84
2013-03-22,85.00,85.00,84.77,84.77,900,84.77
2013-03-21,85.42,85.51,85.42,85.51,400,85.51
2013-03-20,85.12,85.12,84.69,85.00,1300,85.00
2013-03-19,84.97,85.45,84.93,85.29,2300,85.29
2013-03-18,84.88,85.12,84.83,84.84,900,84.84
2013-03-15,84.66,84.66,84.24,84.24,1200,84.24
2013-03-14,84.27,84.33,84.16,84.28,1200,84.28
2013-03-13,84.88,84.88,84.88,84.88,000,84.88
2013-03-12,84.57,84.88,84.55,84.88,1400,84.88
2013-03-11,83.84,83.92,83.71,83.92,2100,83.92
2013-03-08,83.40,84.24,83.40,84.17,9200,84.17
2013-03-07,84.11,84.11,84.11,84.11,000,84.11
2013-03-06,83.49,84.23,83.49,84.11,1200,84.11
2013-03-05,83.56,83.67,83.56,83.56,1000,83.56
2013-03-04,83.15,83.80,83.15,83.31,3500,83.31
2013-03-01,83.37,83.94,83.37,83.44,800,83.44
2013-02-28,84.02,84.67,83.55,83.55,9700,83.55
2013-02-27,85.47,85.52,84.57,84.73,7100,84.73
2013-02-26,84.53,85.82,84.52,85.81,19000,85.81
2013-02-25,83.89,83.89,83.89,83.89,000,83.89
2013-02-22,83.51,83.89,83.30,83.89,800,83.89
2013-02-21,83.10,83.91,83.10,83.63,6500,83.63
2013-02-20,84.15,84.29,82.88,82.88,2700,82.88
2013-02-19,87.38,87.38,85.33,85.34,1900,85.34
2013-02-15,86.52,86.52,85.86,85.86,900,85.86
2013-02-14,88.15,88.15,87.43,87.73,1300,87.73
2013-02-13,88.54,88.54,88.08,88.08,500,88.08
2013-02-12,88.55,88.58,88.52,88.58,1600,88.58
2013-02-11,88.60,88.60,88.60,88.60,300,88.60
2013-02-08,90.45,90.45,90.45,90.45,000,90.45
2013-02-07,89.89,90.45,89.89,90.45,300,90.45
2013-02-06,90.14,90.14,90.14,90.14,000,90.14
2013-02-05,90.33,90.33,89.94,90.14,900,90.14
2013-02-04,90.03,90.15,89.82,90.15,1700,90.15
2013-02-01,90.11,90.27,90.11,90.11,1000,90.11
2013-01-31,89.56,90.14,89.56,89.74,1100,89.74
2013-01-30,90.81,90.91,90.67,90.73,1000,90.73
2013-01-29,89.27,89.56,89.21,89.56,500,89.56
2013-01-28,89.11,89.11,88.95,88.95,600,88.95
2013-01-25,89.13,89.13,89.10,89.13,600,89.13
2013-01-24,90.52,90.52,89.92,89.96,1100,89.96
2013-01-23,91.33,91.33,91.10,91.10,300,91.10
2013-01-22,91.40,91.40,91.40,91.40,200,91.40
2013-01-18,91.11,91.11,91.11,91.11,700,91.11
2013-01-17,90.77,91.21,90.77,90.91,2500,90.91
2013-01-16,88.66,89.50,88.66,89.50,900,89.50
2013-01-15,90.03,90.65,89.99,90.51,3100,90.51
2013-01-14,89.48,89.48,89.48,89.48,400,89.48
2013-01-11,88.38,88.86,88.38,88.86,500,88.86
2013-01-10,89.52,89.82,89.52,89.63,1700,89.63
2013-01-09,88.24,88.55,88.24,88.55,4800,88.55
2013-01-08,88.72,88.72,88.39,88.60,2100,88.60
2013-01-07,87.77,88.09,87.62,88.09,900,88.09
