Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,11.69,11.70,11.51,11.55,1386400,11.55
2013-05-30,11.74,11.79,11.72,11.75,1283400,11.75
2013-05-29,11.50,11.59,11.46,11.58,704200,11.58
2013-05-28,11.49,11.64,11.41,11.43,1813400,11.43
2013-05-24,11.56,11.58,11.50,11.51,743900,11.51
2013-05-23,11.54,11.60,11.46,11.58,1196700,11.58
2013-05-22,11.56,11.77,11.28,11.35,2059800,11.35
2013-05-21,11.41,11.52,11.34,11.43,1945500,11.43
2013-05-20,11.25,11.69,11.21,11.68,2945700,11.68
2013-05-17,11.42,11.46,11.27,11.28,3584400,11.28
2013-05-16,11.41,11.55,11.38,11.52,1791200,11.52
2013-05-15,11.79,11.79,11.52,11.58,3707700,11.58
2013-05-14,11.91,11.97,11.85,11.85,1218400,11.85
2013-05-13,11.93,11.98,11.90,11.93,702500,11.93
2013-05-10,11.92,12.06,11.81,12.05,1249400,12.05
2013-05-09,12.22,12.29,12.13,12.16,523400,12.16
2013-05-08,12.24,12.31,12.17,12.30,1006700,12.30
2013-05-07,12.15,12.15,12.02,12.09,1823300,12.09
2013-05-06,12.29,12.32,12.23,12.29,1020200,12.29
2013-05-03,12.27,12.34,12.21,12.29,954300,12.29
2013-05-02,12.26,12.33,12.24,12.29,1623900,12.29
2013-05-01,12.17,12.23,12.03,12.20,947000,12.20
2013-04-30,12.31,12.37,12.23,12.34,862300,12.34
2013-04-29,12.30,12.33,12.23,12.31,1139700,12.31
2013-04-26,12.30,12.41,12.13,12.19,1233100,12.19
2013-04-25,12.10,12.30,12.09,12.25,2004000,12.25
2013-04-24,11.87,11.96,11.86,11.94,1202800,11.94
2013-04-23,11.87,11.88,11.74,11.81,1403500,11.81
2013-04-22,11.91,11.95,11.83,11.93,2717300,11.93
2013-04-19,11.69,11.71,11.60,11.67,1331300,11.67
2013-04-18,11.49,11.61,11.45,11.53,2072400,11.53
2013-04-17,11.47,11.58,11.32,11.40,2469800,11.40
2013-04-16,11.63,11.63,11.31,11.38,5401000,11.38
2013-04-15,11.62,11.69,11.16,11.28,10828900,11.28
2013-04-12,12.89,12.89,12.32,12.34,6940200,12.34
2013-04-11,13.09,13.16,13.05,13.07,1724900,13.07
2013-04-10,13.32,13.32,13.06,13.08,1189500,13.08
2013-04-09,13.27,13.41,13.27,13.37,1191500,13.37
2013-04-08,13.25,13.26,13.18,13.23,865500,13.23
2013-04-05,13.14,13.31,13.10,13.27,1376000,13.27
2013-04-04,12.96,13.04,12.94,13.02,2756400,13.02
2013-04-03,13.23,13.27,12.98,13.07,3439100,13.07
2013-04-02,13.46,13.48,13.28,13.29,1766900,13.29
2013-04-01,13.55,13.61,13.53,13.60,598400,13.60
2013-03-28,13.63,13.65,13.52,13.53,671300,13.53
2013-03-27,13.62,13.71,13.61,13.68,668900,13.68
2013-03-26,13.61,13.65,13.59,13.64,719900,13.64
2013-03-25,13.63,13.70,13.60,13.68,823300,13.68
2013-03-22,13.68,13.72,13.68,13.70,919700,13.70
2013-03-21,13.72,13.77,13.69,13.75,1322200,13.75
2013-03-20,13.65,13.68,13.61,13.64,889000,13.64
2013-03-19,13.56,13.71,13.55,13.70,1034700,13.70
2013-03-18,13.62,13.66,13.54,13.57,1819600,13.57
2013-03-15,13.42,13.48,13.40,13.45,1595100,13.45
2013-03-14,13.35,13.48,13.35,13.39,2840900,13.39
2013-03-13,13.52,13.55,13.39,13.40,1072000,13.40
2013-03-12,13.45,13.59,13.45,13.51,1351800,13.51
2013-03-11,13.34,13.36,13.32,13.34,512900,13.34
2013-03-08,13.26,13.38,13.23,13.34,649400,13.34
2013-03-07,13.35,13.38,13.33,13.36,1166200,13.36
2013-03-06,13.25,13.38,13.19,13.37,823400,13.37
