Date,Open,High,Low,Close,Volume,Adj Close,SAR,EP,Trend,AF
2011-06-01,35.69,35.69,35.36,35.36,18300,35.36,0,0,1,0
2011-06-02,35.41,36.07,34.64,35.91,54400,35.91,34.64,36.07,0,0.02
2011-06-03,35.64,37.49,35.41,36.6,191800,36.6,36.07,35.41,1,0.02
2011-06-06,36.6,37.3,36.32,36.54,103500,36.54,35.41,37.3,1,0.04
2011-06-07,36.66,37.04,36,36.35,77600,36.35,35.41,37.3,1,0.04
2011-06-08,36.37,37.05,36.03,36.89,58400,36.89,35.4856,37.3,1,0.04
2011-06-09,36.93,37.03,36.57,36.87,47500,36.87,35.5582,37.3,1,0.04
2011-06-10,36.97,37.12,36.15,36.15,23500,36.15,35.6278,37.3,1,0.04
2011-06-13,36.19,36.43,35.58,35.61,58500,35.61,35.6947,37.3,0,0.02
2011-06-14,35.9,37,35.81,36.87,55400,36.87,37.3,35.81,0,0.04
2011-06-15,35.62,36.84,35.62,36.12,30600,36.12,37.2404,35.62,0,0.06
2011-06-16,36,36.78,35,35.36,126800,35.36,37.1432,35,0,0.08
2011-06-17,35.64,36.3,35.35,36.19,77600,36.19,36.9717,35,0,0.08
2011-06-20,36.09,36.23,35.42,35.8,55700,35.8,36.814,35,0,0.08
2011-06-21,36,36.2,35.76,35.82,142800,35.82,36.6689,35,0,0.08
2011-06-22,35.94,35.95,35.38,35.68,152000,35.68,36.5354,35,0,0.08
2011-06-23,35.5,35.86,35.3,35.5,87200,35.5,36.4125,35,0,0.08
2011-06-24,35.56,35.77,35.36,35.64,107400,35.64,36.2995,35,0,0.08
2011-06-27,36.36,36.36,35.47,35.99,19500,35.99,36.1956,35,1,0.02
2011-06-28,36.03,36.5,35.85,36.44,73800,36.44,35,36.5,1,0.04
2011-06-29,36.24,36.9,36,36.59,32100,36.59,35.06,36.9,1,0.06
2011-06-30,36.66,36.93,36.13,36.8,39000,36.8,35.1704,36.93,1,0.08
2011-07-01,36.81,37.5,36.46,37.25,64800,37.25,35.3112,37.5,1,0.1
