Date,Open,High,Low,Close,Volume,Adj Close,SAR,EP,Trend,AF
2011-06-01,294,295.18,293.03,293.11,378800,293.11,0,0,1,0
2011-06-02,294.12,294.12,289,289.65,287000,289.65,289,295.18,0,0.02
2011-06-03,287.3,290.5,284.83,285.48,325900,285.48,295.18,284.83,0,0.04
2011-06-06,286.63,287.22,283.94,285.64,316800,285.64,294.766,283.94,0,0.06
2011-06-07,285,289.39,284.12,284.5,338700,284.5,294.116,283.94,0,0.06
2011-06-08,284.81,289.49,283.25,288.53,485300,288.53,293.506,283.25,0,0.08
2011-06-09,288.37,292.54,286.98,291.94,305100,291.94,292.685,283.25,0,0.08
2011-06-10,290.7,292.23,288.71,290.2,395700,290.2,292.54,283.25,0,0.08
2011-06-13,291.3,291.3,288.24,288.88,313500,288.88,292.54,283.25,0,0.08
2011-06-14,290.23,290.59,289.16,289.87,345300,289.87,292.23,283.25,0,0.08
2011-06-15,289.07,290.52,288.45,289.55,366600,289.55,291.512,283.25,0,0.08
2011-06-16,288.82,290.15,285.21,289.78,447100,289.78,290.851,283.25,0,0.08
2011-06-17,291,293.05,290.36,291.71,804500,291.71,290.52,283.25,1,0.02
2011-06-20,291.31,293.15,290.03,292.24,496000,292.24,283.25,293.15,1,0.04
2011-06-21,292.4,292.91,291.43,292.43,444600,292.43,283.646,293.15,1,0.04
2011-06-22,292.17,294.08,292.17,292.87,387300,292.87,284.026,294.08,1,0.06
2011-06-23,290.72,294.27,290.72,292.61,476500,292.61,284.629,294.27,1,0.08
2011-06-24,292.55,293.7,290.33,291.6,336900,291.6,285.401,294.27,1,0.08
2011-06-27,290.99,293.97,290,292.84,267300,292.84,286.11,294.27,1,0.08
2011-06-28,293.5,293.52,292.58,292.9,437000,292.9,286.763,294.27,1,0.08
2011-06-29,293.42,293.54,290.62,291.32,342700,291.32,287.364,294.27,1,0.08
2011-06-30,292.55,296.2,291.87,294.85,381100,294.85,287.916,296.2,1,0.1
2011-07-01,295.38,298.19,294.86,297.62,255800,297.62,288.744,298.19,1,0.12
2011-07-05,296.14,298.53,294.51,297.14,289700,297.14,289.878,298.53,1,0.14
2011-07-06,295.29,298.8,294.76,297.75,333300,297.75,291.089,298.8,1,0.16
