Date,Open,High,Low,Close,Volume,Adj Close,SAR,EP,Trend,AF
2011-06-01,19.56,19.57,19.2,19.24,5615200,16.79,0,0,1,0
2011-06-02,19.18,19.42,19.11,19.35,7363000,16.88,19.11,19.57,0,0.02
2011-06-03,19.17,19.32,19.08,19.09,7129800,16.66,19.57,19.08,0,0.04
2011-06-06,19.04,19.17,18.93,19.09,5117900,16.66,19.5504,18.93,0,0.06
2011-06-07,19.18,19.21,19.06,19.09,5468800,16.66,19.5132,18.93,0,0.06
2011-06-08,19.09,19.13,18.89,18.9,8723100,16.49,19.4782,18.89,0,0.08
2011-06-09,18.93,18.96,18.75,18.82,5088200,16.42,19.4311,18.75,0,0.1
2011-06-10,18.8,19.15,18.76,18.86,6469200,16.45,19.363,18.75,0,0.1
2011-06-13,18.9,18.9,18.61,18.72,4088200,16.33,19.3017,18.61,0,0.12
2011-06-14,18.82,18.9,18.71,18.84,3437400,16.44,19.2187,18.61,0,0.12
2011-06-15,18.75,18.85,18.44,18.49,5163300,16.13,19.1457,18.44,0,0.14
2011-06-16,18.5,18.79,18.5,18.66,4127300,16.28,19.0469,18.44,0,0.14
2011-06-17,18.77,18.92,18.69,18.74,3898200,16.35,18.9619,18.44,0,0.14
2011-06-20,18.73,18.85,18.64,18.83,2605700,16.43,18.92,18.44,0,0.14
2011-06-21,18.9,19.11,18.84,19,3308800,16.58,18.92,18.44,1,0.02
2011-06-22,19,19.1,18.88,19.02,5535300,16.59,18.44,19.1,1,0.04
2011-06-23,18.85,18.89,18.47,18.76,5344400,16.37,18.4664,19.1,1,0.04
2011-06-24,18.81,19.22,18.76,18.95,8528600,16.53,18.47,19.22,1,0.06
2011-06-27,19.16,19.22,19.03,19.12,3549700,16.68,18.47,19.22,1,0.06
2011-06-28,19.21,19.29,19.12,19.24,2787100,16.79,18.515,19.29,1,0.08
2011-06-29,19.28,19.39,19.26,19.34,4772400,16.87,18.577,19.39,1,0.1
2011-06-30,19.4,19.51,19.24,19.35,4932700,16.88,18.6583,19.51,1,0.12
2011-07-01,19.44,19.81,19.36,19.79,2995200,17.27,18.7605,19.81,1,0.14
2011-07-05,19.67,19.8,19.57,19.75,3043700,17.23,18.9074,19.81,1,0.14
2011-07-06,19.69,19.81,19.58,19.81,3185400,17.28,19.0338,19.81,1,0.14
2011-07-07,19.95,19.95,19.76,19.8,2605500,17.27,19.1425,19.95,1,0.16
2011-07-08,19.62,19.75,19.53,19.75,2067500,17.23,19.2717,19.95,1,0.16
2011-07-11,19.54,19.55,19.27,19.29,2848800,16.83,19.3802,19.95,0,0.02
2011-07-12,19.21,19.66,19.2,19.45,4057100,16.97,19.95,19.2,0,0.04
2011-07-13,19.5,19.61,19.33,19.4,3103900,16.93,19.92,19.2,0,0.04
2011-07-14,19.41,19.61,19.27,19.31,3182700,16.85,19.8912,19.2,0,0.04
2011-07-15,19.36,19.43,19.14,19.39,4334700,16.92,19.8636,19.14,0,0.06
2011-07-18,19.29,19.41,19.17,19.4,3280200,16.93,19.8201,19.14,0,0.06
2011-07-19,19.5,19.74,19.34,19.71,3251000,17.2,19.7793,19.14,0,0.06
2011-07-20,19.81,20.18,19.76,20.12,5057300,17.55,19.741,19.14,1,0.02
2011-07-21,20.26,20.36,20.18,20.28,3395300,17.69,19.14,20.36,1,0.04
2011-07-22,20.34,20.34,20.03,20.26,2613200,17.68,19.1888,20.36,1,0.04
2011-07-25,19.9,20.18,19.9,20.1,3028100,17.54,19.2356,20.36,1,0.04
2011-07-26,20.14,20.14,20,20.05,2598900,17.49,19.2806,20.36,1,0.04
2011-07-27,19.98,20.14,19.98,20.05,3711900,17.49,19.3238,20.36,1,0.04
2011-07-28,20.11,20.12,19.75,19.79,4255700,17.27,19.3652,20.36,1,0.04
2011-07-29,19.62,19.86,19.41,19.58,4648800,17.08,19.405,20.36,1,0.04
2011-08-01,19.78,19.78,19.4,19.56,4869000,17.07,19.41,20.36,0,0.02
2011-08-02,19.45,19.68,19.29,19.29,3401900,16.83,20.36,19.29,0,0.04
2011-08-03,19.4,19.43,18.95,19.32,4134200,16.86,20.3172,18.95,0,0.06
2011-08-04,19.12,19.27,18.36,18.45,8191200,16.1,20.2352,18.36,0,0.08
2011-08-05,18.74,18.86,18.1,18.54,9523300,16.18,20.0852,18.1,0,0.1
2011-08-08,18.2,18.35,17.11,17.24,9447300,15.04,19.8866,17.11,0,0.12
2011-08-09,17.49,18.36,17.13,18.35,8608200,16.01,19.5534,17.11,0,0.12
2011-08-10,18.08,18.69,17.87,18.23,9403100,15.91,19.2602,17.11,0,0.12
2011-08-11,18.23,19.36,18.2,19.13,6120700,16.69,19.0022,17.11,1,0.02
2011-08-12,19.02,19.13,18.59,18.7,3330200,16.49,17.11,19.13,1,0.04
2011-08-15,18.91,19.54,18.87,19.54,3823200,17.23,17.1908,19.54,1,0.06
2011-08-16,19.34,19.41,19.06,19.35,3278300,17.06,17.3318,19.54,1,0.06
2011-08-17,19.46,19.74,19.39,19.44,2887200,17.14,17.4642,19.74,1,0.08
2011-08-18,19.09,19.23,18.71,18.85,6273400,16.62,17.6463,19.74,1,0.08
2011-08-19,18.67,19.07,18.62,18.73,3932900,16.51,17.8138,19.74,1,0.08
2011-08-22,19.02,19.1,18.53,18.66,3949300,16.45,17.9679,19.74,1,0.08
2011-08-23,18.94,19.24,18.61,19.21,9616300,16.94,18.1097,19.74,1,0.08
2011-08-24,19.25,19.72,19.15,19.57,7385700,17.25,18.2401,19.74,1,0.08
2011-08-25,19.7,19.7,19.02,19.24,4673200,16.96,18.3601,19.74,1,0.08
2011-08-26,19.16,19.55,18.72,19.55,4473100,17.24,18.4705,19.74,1,0.08
2011-08-29,19.8,19.91,19.56,19.83,5470200,17.48,18.572,19.91,1,0.1
2011-08-30,19.81,19.98,19.7,19.88,5133500,17.53,18.7058,19.98,1,0.12
2011-08-31,19.99,20.14,19.88,20.01,4343100,17.64,18.8587,20.14,1,0.14
2011-09-01,20.11,20.14,19.79,19.79,5325600,17.45,19.0381,20.14,1,0.14
2011-09-02,19.39,19.63,19.39,19.45,3498400,17.15,19.1924,20.14,1,0.14
2011-09-06,19.06,19.23,18.84,19.23,4988200,16.95,19.325,20.14,0,0.02
2011-09-07,19.44,19.61,19.29,19.61,4365500,17.29,20.14,19.29,0,0.04
2011-09-08,19.54,20.24,19.51,20.01,5641800,17.64,20.106,19.29,1,0.02
2011-09-09,19.76,19.79,19.27,19.52,5013800,17.21,19.29,19.79,0,0.02
2011-09-12,19.27,19.54,19.1,19.54,4182200,17.23,19.79,19.1,0,0.04
2011-09-13,19.52,19.85,19.26,19.83,3773100,17.48,19.79,19.1,1,0.02
2011-09-14,19.86,20.15,19.49,19.91,4426100,17.55,19.1,20.15,1,0.04
2011-09-15,20.05,20.08,19.71,19.88,4806900,17.53,19.142,20.15,1,0.04
2011-09-16,20.02,20.14,19.86,19.93,4668000,17.57,19.1823,20.15,1,0.04
2011-09-19,19.62,20.04,19.56,19.97,2563200,17.61,19.221,20.15,1,0.04
2011-09-20,19.99,20.45,19.85,20.13,3342900,17.75,19.2582,20.45,1,0.06
2011-09-21,20.07,20.13,19.34,19.36,4145500,17.07,19.3297,20.45,1,0.06
2011-09-22,18.91,18.95,18.53,18.71,6104400,16.49,19.34,20.45,0,0.02
2011-09-23,18.63,19.07,18.56,18.97,3938800,16.72,20.45,18.56,0,0.04
2011-09-26,19.11,19.24,18.86,19.24,3979500,16.96,20.3744,18.56,0,0.04
2011-09-27,19.57,19.66,19.14,19.23,4623800,16.95,20.3018,18.56,0,0.04
2011-09-28,19.22,19.42,19.08,19.12,4239400,16.86,20.2322,18.56,0,0.04
2011-09-29,19.47,20.39,19.38,19.96,10296700,17.6,20.1653,18.56,1,0.02
2011-09-30,19.78,20.1,19.62,19.62,5593700,17.3,18.56,20.1,1,0.04
2011-10-03,19.6,19.92,19.17,19.18,4663800,16.91,18.6216,20.1,1,0.04
2011-10-04,18.97,19.58,18.7,19.57,7200000,17.25,18.6807,20.1,1,0.04
2011-10-05,19.57,19.74,19.21,19.71,3237600,17.38,18.7,20.1,1,0.04
2011-10-06,19.72,20.13,19.58,20.13,3631600,17.75,18.7,20.13,1,0.06
2011-10-07,20.25,20.25,19.75,19.93,3641400,17.57,18.7858,20.25,1,0.08
2011-10-10,20.19,20.5,20.19,20.5,3020700,18.07,18.9029,20.5,1,0.1
2011-10-11,20.37,20.38,19.97,20.05,6191100,17.68,19.0626,20.5,1,0.1
2011-10-12,20.18,20.22,19.87,19.88,5419200,17.53,19.2064,20.5,1,0.1
2011-10-13,19.83,20.1,19.78,20.07,2820600,17.69,19.3357,20.5,1,0.1
2011-10-14,20.29,20.38,20.13,20.35,3359100,17.94,19.4522,20.5,1,0.1
2011-10-17,20.33,20.6,20.24,20.51,3798400,18.08,19.5569,20.6,1,0.12
2011-10-18,20.47,20.91,20.19,20.73,4629200,18.28,19.6821,20.91,1,0.14
2011-10-19,20.76,21.12,20.58,20.67,5044200,18.22,19.854,21.12,1,0.16
2011-10-20,20.76,21.03,20.7,20.94,3971400,18.46,20.0566,21.12,1,0.16
2011-10-21,21.18,21.33,20.99,21.23,3774000,18.72,20.2267,21.33,1,0.18
2011-10-24,21.21,21.39,21.13,21.25,2917100,18.73,20.4253,21.39,1,0.2
2011-10-25,21.22,21.33,20.89,20.91,3931400,18.43,20.6183,21.39,1,0.2
2011-10-26,21.15,21.2,20.82,21.02,8685600,18.53,20.7726,21.39,1,0.2
2011-10-27,21.3,21.39,21.13,21.25,8408500,18.73,20.82,21.39,1,0.2
2011-10-28,21.2,21.35,21.11,21.29,4019400,18.77,20.82,21.39,1,0.2
2011-10-31,21.19,21.23,20.83,20.84,5173800,18.37,20.934,21.39,0,0.02
2011-11-01,20.31,20.6,20.19,20.23,4749300,17.83,21.39,20.19,0,0.04
2011-11-02,20.51,21.47,19.68,20.08,12063900,17.7,21.342,19.68,1,0.02
2011-11-03,20.01,20.36,19.95,20.3,6163900,17.9,19.68,20.36,1,0.04
2011-11-04,20.16,20.41,20.07,20.31,4642800,17.91,19.68,20.41,1,0.06
2011-11-07,20.37,20.42,20.1,20.35,2806400,17.94,19.7238,20.42,1,0.08
2011-11-08,20.35,20.39,20.04,20.17,5022500,17.78,19.7795,20.42,1,0.08
2011-11-09,19.92,20.04,19.49,19.58,6303200,17.26,19.8307,20.42,0,0.02
2011-11-10,19.78,19.86,19.33,19.55,6781200,17.24,20.42,19.33,0,0.04
2011-11-11,19.76,19.85,19.67,19.8,5011300,17.46,20.3764,19.33,0,0.04
2011-11-14,19.52,19.56,19.05,19.25,6501000,17.14,20.3345,19.05,0,0.06
2011-11-15,19.12,19.67,19.01,19.6,6488600,17.45,20.2575,19.01,0,0.08
2011-11-16,19.47,19.59,19.24,19.27,3475100,17.16,20.1577,19.01,0,0.08
2011-11-17,19.3,19.51,19.16,19.36,4093400,17.24,20.0659,19.01,0,0.08
2011-11-18,19.44,19.51,19.3,19.36,2381700,17.24,19.9814,19.01,0,0.08
2011-11-21,19.13,19.2,18.86,19.01,2669600,16.93,19.9037,18.86,0,0.1
2011-11-22,19.03,19.11,18.83,18.9,2890800,16.83,19.7993,18.83,0,0.12
2011-11-23,18.76,18.8,18.59,18.68,2832600,16.63,19.683,18.59,0,0.14
2011-11-25,18.6,18.77,18.59,18.59,1222300,16.55,19.53,18.59,0,0.14
2011-11-28,19,19.15,18.84,18.97,2826800,16.89,19.3984,18.59,0,0.14
2011-11-29,19.07,19.3,19.06,19.22,2714800,17.12,19.2852,18.59,1,0.02
2011-11-30,19.66,19.92,19.51,19.9,5235800,17.72,18.59,19.92,1,0.04
2011-12-01,19.82,19.95,19.77,19.8,2799100,17.63,18.6432,19.95,1,0.06
2011-12-02,19.93,19.96,19.61,19.63,2762400,17.48,18.7216,19.96,1,0.08
2011-12-05,19.89,19.96,19.68,19.79,2981300,17.62,18.8207,19.96,1,0.08
2011-12-06,19.86,19.91,19.67,19.68,3348800,17.53,18.9118,19.96,1,0.08
2011-12-07,19.6,19.9,19.53,19.8,3166100,17.63,18.9957,19.96,1,0.08
2011-12-08,19.75,19.77,19.34,19.42,2970400,17.29,19.0728,19.96,1,0.08
2011-12-09,19.53,19.87,19.45,19.83,4504700,17.66,19.1438,19.96,1,0.08
2011-12-12,19.62,19.67,19.22,19.44,2725200,17.31,19.2091,19.96,1,0.08
