Date,Open,High,Low,Close,Volume,Adj Close,SAR,EP,Trend,AF
2011-06-01,82.34,82.51,80.14,80.21,2708800,71.98,0,0,1,0
2011-06-02,80.83,80.86,78.97,79,4003400,70.9,78.97,82.51,0,0.02
2011-06-03,78.6,78.85,77.76,77.81,3377400,69.83,82.51,77.76,0,0.04
2011-06-06,77.55,78.15,77.31,77.69,2496700,69.72,82.32,77.31,0,0.06
2011-06-07,78.08,78.95,77.83,78.36,2467000,70.32,82.0194,77.31,0,0.06
2011-06-08,78.37,79.66,78.25,78.93,2517700,70.83,81.7368,77.31,0,0.06
2011-06-09,79,79.7,78.64,79.03,1843700,70.92,81.4712,77.31,0,0.06
2011-06-10,79.1,79.28,78.23,78.3,2121900,70.27,81.2216,77.31,0,0.06
2011-06-13,78.18,79.02,78.05,78.45,1381100,70.4,80.9869,77.31,0,0.06
2011-06-14,79.14,79.42,78.8,79.24,1746900,71.11,80.7662,77.31,0,0.06
2011-06-15,78.55,78.96,77.74,77.93,1765800,69.94,80.5589,77.31,0,0.06
2011-06-16,77.88,78.91,77.75,78.85,2191800,70.76,80.3639,77.31,0,0.06
2011-06-17,79.98,80.66,79.23,79.63,4217400,71.46,80.1807,77.31,1,0.02
2011-06-20,79.71,81.3,79.64,81.25,2178600,72.91,77.31,81.3,1,0.04
2011-06-21,81.39,81.44,80.54,81.39,2242000,73.04,77.4696,81.44,1,0.06
2011-06-22,81.1,81.36,80.5,80.52,1545700,72.26,77.7078,81.44,1,0.06
2011-06-23,79.75,80.59,79.32,80.4,2315900,72.15,77.9318,81.44,1,0.06
2011-06-24,81.13,81.13,79.13,79.13,2462600,71.01,78.1422,81.44,1,0.06
2011-06-27,78.95,80.06,78.92,79.85,1841200,71.66,78.3401,81.44,1,0.06
2011-06-28,79.99,80.17,79.63,79.99,1786600,71.78,78.5261,81.44,1,0.06
2011-06-29,80.2,80.68,79.88,80.03,2262000,71.82,78.7009,81.44,1,0.06
2011-06-30,80.27,81.34,79.98,81.24,2410500,72.91,78.8653,81.44,1,0.06
2011-07-01,81.5,81.7,81.04,81.54,2087500,73.18,79.0198,81.7,1,0.08
2011-07-05,81.69,81.95,80.97,81.29,1860800,72.95,79.2342,81.95,1,0.1
2011-07-06,81.37,82.94,81.37,82.64,2155600,74.16,79.5058,82.94,1,0.12
2011-07-07,83.2,83.45,81.61,82.06,3197400,73.64,79.9179,83.45,1,0.14
2011-07-08,81.59,82,80.91,81.41,1992300,73.06,80.4124,83.45,1,0.14
2011-07-11,80.68,81.08,80.44,80.68,1590300,72.4,80.8376,83.45,0,0.02
2011-07-12,80.89,81.76,80.65,80.71,1725100,72.43,83.45,80.65,0,0.04
2011-07-13,80.99,81.56,80.31,80.84,1448500,72.55,83.338,80.31,0,0.06
2011-07-14,80.87,81.47,80.13,80.33,1558500,72.09,83.1563,80.13,0,0.08
2011-07-15,80.36,80.57,79.4,79.86,2212200,71.67,82.9142,79.4,0,0.1
2011-07-18,79.53,79.81,78.81,79.11,1486900,70.99,82.5628,78.81,0,0.12
2011-07-19,79.76,80.95,79.7,80.81,1839400,72.52,82.1125,78.81,0,0.12
2011-07-20,80.82,80.88,79.85,80.69,1562400,72.41,81.7162,78.81,0,0.12
2011-07-21,80.87,82.12,80.67,81.52,1729600,73.16,81.3674,78.81,1,0.02
2011-07-22,81.67,81.83,81.15,81.67,991500,73.29,78.81,81.83,1,0.04
2011-07-25,81.2,81.59,81.06,81.16,1174200,72.83,78.9308,81.83,1,0.04
2011-07-26,80.96,81.57,80.42,80.55,1127100,72.29,79.0468,81.83,1,0.04
2011-07-27,80.06,80.29,78.33,78.39,2309200,70.35,79.1581,81.83,0,0.02
2011-07-28,78.39,79.32,78.25,78.33,1985600,70.29,81.83,78.25,0,0.04
2011-07-29,77.5,78.92,77.19,78.25,2434000,70.22,81.6868,77.19,0,0.06
2011-08-01,79.32,79.35,77.06,77.71,2554400,69.74,81.417,77.06,0,0.08
2011-08-02,77.3,77.75,75.77,75.83,3445100,68.05,81.0684,75.77,0,0.1
2011-08-03,75.93,77.3,75.11,77.08,3809400,69.39,80.5386,75.11,0,0.12
2011-08-04,76.11,78.28,75.8,76.51,5799000,68.88,79.8872,75.11,0,0.12
2011-08-05,77.45,77.53,74.78,76.74,3586500,69.09,79.3139,74.78,0,0.14
2011-08-08,75.6,76.47,70.46,70.62,8417500,63.58,78.6792,70.46,0,0.16
2011-08-09,71.62,74.66,70.71,74.66,5714800,67.21,77.53,70.46,0,0.16
2011-08-10,72.97,73.14,70.22,70.39,4918600,63.37,76.47,70.22,0,0.18
2011-08-11,70.6,73.39,70.31,72.61,4324100,65.37,75.345,70.22,0,0.18
2011-08-12,73.02,73.41,71.7,72.79,3012700,65.53,74.4225,70.22,0,0.18
2011-08-15,73.17,74.08,72.68,74.08,2615200,66.69,73.666,70.22,1,0.02
2011-08-16,73.93,75.61,73.37,75.14,2847500,67.65,70.22,75.61,1,0.04
2011-08-17,75.62,77.4,75.33,76.12,3584500,68.53,70.4356,77.4,1,0.06
2011-08-18,74.52,75.38,72.46,74.36,4974400,66.94,70.8535,77.4,1,0.06
2011-08-19,73.4,75.49,73.4,74.36,3734400,66.94,71.2463,77.4,1,0.06
2011-08-22,75.97,75.99,73.73,74.42,2455700,67,71.6155,77.4,1,0.06
2011-08-23,74.59,76.83,74.16,76.22,3399300,68.62,71.9626,77.4,1,0.06
2011-08-24,76.22,77.53,75.75,77.49,2488100,69.76,72.2888,77.53,1,0.08
2011-08-25,77.77,78.52,75.77,75.86,2077600,68.29,72.7081,78.52,1,0.1
2011-08-26,75.78,77.67,75.05,77.21,2177700,69.51,73.2893,78.52,1,0.1
2011-08-29,77.86,78.11,77.38,77.79,2613600,70.03,73.8124,78.52,1,0.1
2011-08-30,77.6,78.54,77.22,78.07,2241100,70.28,74.2831,78.54,1,0.12
2011-08-31,78.24,79.04,78.02,78.54,2693400,70.71,74.7939,79.04,1,0.14
2011-09-01,78.98,80.91,78.78,79.48,3998300,71.55,75.3884,80.91,1,0.16
2011-09-02,78.23,79.68,78.08,78.56,2459300,70.72,76.2719,80.91,1,0.16
2011-09-06,77.03,78.53,76.59,78.4,2242600,70.58,77.014,80.91,0,0.02
2011-09-07,79.27,80.61,78.88,80.61,2038400,72.57,80.91,78.88,0,0.04
2011-09-08,80.29,81.47,80.17,80.76,2340900,72.71,80.8288,78.88,1,0.02
2011-09-09,79.95,80.08,78.5,78.9,2494400,71.03,78.88,80.08,0,0.02
2011-09-12,78.03,79.88,78.02,79.72,2215800,71.77,80.08,78.02,0,0.04
2011-09-13,80.07,80.79,79.3,80.71,2353600,72.66,80.08,78.02,1,0.02
2011-09-14,80.94,82.52,79.93,81.9,2738300,73.73,78.02,82.52,1,0.04
2011-09-15,82.89,83.29,82.1,83.01,2440300,74.73,78.2,83.29,1,0.06
2011-09-16,83.26,84.96,82.96,84.24,4399100,75.84,78.5054,84.96,1,0.08
2011-09-19,83.54,85.34,83.42,85.03,2567700,76.55,79.0218,85.34,1,0.1
2011-09-20,85.15,86.34,84.7,85.07,3318300,76.59,79.6536,86.34,1,0.12
2011-09-21,85.07,86.18,84.39,84.43,2639000,76.01,80.456,86.34,1,0.12
2011-09-22,82.73,83.78,81.73,83.18,4549800,74.88,81.162,86.34,1,0.12
2011-09-23,82.7,83.9,82.47,83.37,2827400,75.05,81.73,86.34,1,0.12
2011-09-26,83.8,84.75,83.36,84.45,3125000,76.03,81.73,86.34,1,0.12
2011-09-27,85.61,85.94,83.95,84.33,2494200,75.92,82.2832,86.34,1,0.12
2011-09-28,84.59,85.3,83.77,83.79,2141000,75.43,82.77,86.34,1,0.12
2011-09-29,84.98,85.27,81.99,82.98,2434200,74.7,83.1984,86.34,0,0.02
2011-09-30,82.38,83.68,82.02,82.13,2764100,73.94,86.34,82.02,0,0.04
2011-10-03,81.72,83.22,81.18,81.63,3235000,73.49,86.1672,81.18,0,0.06
2011-10-04,80.67,81.78,78.61,81.65,4717800,73.51,85.868,78.61,0,0.08
2011-10-05,80.99,81.78,78.62,80.25,5043100,72.25,85.2873,78.61,0,0.08
2011-10-06,79.81,80,78.41,79.2,4214800,71.3,84.7531,78.41,0,0.1
2011-10-07,79.31,79.69,78.72,79.02,3353600,71.14,84.1188,78.41,0,0.1
2011-10-10,80,81.32,79.85,81.23,2324400,73.13,83.5479,78.41,0,0.1
2011-10-11,80.98,81.06,80.25,80.9,1983800,72.83,83.0342,78.41,0,0.1
2011-10-12,81.51,82.5,81.21,81.42,2454000,73.3,82.5717,78.41,0,0.1
2011-10-13,81.44,81.95,81.28,81.67,1839100,73.52,82.5,78.41,0,0.1
2011-10-14,82.07,82.81,81.19,81.77,2227700,73.61,82.5,78.41,1,0.02
2011-10-17,81.57,82.53,81.54,82.36,2278000,74.15,78.41,82.53,1,0.04
2011-10-18,82.35,85,82.19,84.57,3544500,76.14,78.5748,85,1,0.06
2011-10-19,84.39,84.99,84.17,84.38,2704000,75.96,78.9603,85,1,0.06
2011-10-20,84.38,85.35,83.78,84.26,2419600,75.86,79.3227,85.35,1,0.08
2011-10-21,84.77,85.3,84.32,85.3,2957200,76.79,79.8049,85.35,1,0.08
2011-10-24,84.83,85.18,84.16,84.48,3025600,76.05,80.2485,85.35,1,0.08
2011-10-25,83.45,84.5,83.05,83.23,2193000,74.93,80.6566,85.35,1,0.08
2011-10-26,83.41,84.13,82.11,83.73,2421100,75.38,81.0321,85.35,1,0.08
2011-10-27,85,86.14,84.06,85.22,3728300,76.72,81.3775,86.14,1,0.1
2011-10-28,84.65,85.18,84.26,84.93,1904900,76.46,81.8538,86.14,1,0.1
2011-10-31,84.55,85.3,83.25,83.25,3073100,74.95,82.2824,86.14,1,0.1
2011-11-01,82.37,84.24,81.99,83.35,2790400,75.04,82.6681,86.14,0,0.02
2011-11-02,84.04,84.77,83.56,84.43,2620900,76.01,86.14,83.56,0,0.04
2011-11-03,83.89,84.76,82.88,84.7,2623300,76.25,86.0368,82.88,0,0.06
2011-11-04,84.52,84.68,83.5,83.81,2097100,75.45,85.8474,82.88,0,0.06
2011-11-07,83.69,84.29,83.21,84.16,2055200,75.77,85.6693,82.88,0,0.06
2011-11-08,84.14,85.03,83.34,85,2499400,76.74,85.502,82.88,0,0.06
2011-11-09,83.57,84.04,82.77,83.41,2850300,75.31,85.3447,82.77,0,0.08
2011-11-10,84.02,84.12,82.45,82.72,2502500,74.68,85.1387,82.45,0,0.1
2011-11-11,83.35,83.71,82.68,83.04,2500700,74.97,84.8698,82.45,0,0.1
2011-11-14,82.74,83.99,82.72,83.45,1539500,75.34,84.6278,82.45,0,0.1
2011-11-15,83.41,84.73,83.15,84.48,1724100,76.27,84.4101,82.45,1,0.02
2011-11-16,83.94,84.36,82.86,82.94,2459300,74.88,82.45,84.36,1,0.04
2011-11-17,82.64,83.17,81.19,81.98,2312000,74.01,82.5264,84.36,0,0.02
2011-11-18,82.06,82.24,81.44,81.72,2355900,73.78,84.36,81.44,0,0.04
2011-11-21,81.22,81.81,80.79,81.29,1872400,73.39,84.2432,80.79,0,0.06
2011-11-22,81.22,82.11,81.05,81.81,1635300,73.86,84.036,80.79,0,0.06
2011-11-23,81.29,81.63,80.41,80.76,2183600,72.91,83.8412,80.41,0,0.08
2011-11-25,80.35,81.63,80.3,80.82,826800,72.97,83.5667,80.3,0,0.1
2011-11-28,82.76,82.82,81.74,82.23,2005400,74.24,83.2401,80.3,0,0.1
2011-11-29,82.64,83.66,82.01,83.51,1917300,75.4,82.9461,80.3,1,0.02
2011-11-30,84.93,85.82,84.5,85.3,3558500,77.01,80.3,85.82,1,0.04
2011-12-01,85,87.68,84.96,87.09,3572400,78.63,80.5208,87.68,1,0.06
2011-12-02,87.65,88.68,86.62,86.73,2616600,78.3,80.9504,88.68,1,0.08
2011-12-05,87.79,88.19,86.65,87.2,1818900,78.73,81.5687,88.68,1,0.08
2011-12-06,87.56,88.4,86.93,88.06,2350500,79.5,82.1376,88.68,1,0.08
2011-12-07,87.69,87.98,86.19,87.47,2715800,78.97,82.661,88.68,1,0.08
2011-12-08,84.87,86.95,84,85.76,4377800,77.43,83.1425,88.68,1,0.08
2011-12-09,84.68,85.3,84.13,84.37,3893100,76.17,83.5855,88.68,1,0.08
2011-12-12,84.1,84.6,83.52,84.15,2535900,75.97,83.9931,88.68,0,0.02
2011-12-13,84.6,84.71,83.38,83.63,2491200,75.5,88.68,83.38,0,0.04
