Date,Open,High,Low,Close,Volume,Adj Close,SAR,EP,Trend,AF
2011-06-01,38.64,38.99,38.25,38.38,9061000,36.44,0,0,1,0
2011-06-02,38.37,38.6,38.26,38.53,12744100,36.58,38.25,38.99,0,0.02
2011-06-03,38.15,38.4,37.87,37.97,9741500,36.05,38.99,37.87,0,0.04
2011-06-06,37.86,38.04,37.15,37.25,12911600,35.37,38.9452,37.15,0,0.06
2011-06-07,37.39,37.67,37.31,37.37,8675300,35.48,38.8375,37.15,0,0.06
2011-06-08,37.15,37.74,37.15,37.51,7311500,35.61,38.7362,37.15,0,0.06
2011-06-09,37.61,37.97,37.46,37.75,5239300,35.84,38.6411,37.15,0,0.06
2011-06-10,37.56,37.7,37.2,37.21,5917600,35.33,38.5516,37.15,0,0.06
2011-06-13,37.3,37.6,37.12,37.31,4728100,35.42,38.4675,37.12,0,0.08
2011-06-14,37.77,38,37.62,37.91,5614000,35.99,38.3597,37.12,0,0.08
2011-06-15,37.63,37.86,36.99,37.16,10061600,35.28,38.2605,36.99,0,0.1
2011-06-16,37.24,37.66,37.18,37.34,9242600,35.45,38.1335,36.99,0,0.1
2011-06-17,37.59,37.64,37.18,37.33,8389600,35.44,38.0191,36.99,0,0.1
2011-06-20,37.25,37.75,37.17,37.49,6372300,35.6,37.9162,36.99,0,0.1
2011-06-21,38.03,38.12,37.7,37.83,10691900,35.92,37.8236,36.99,1,0.02
2011-06-22,37.67,37.98,37.44,37.45,7443800,35.56,36.99,37.98,1,0.04
2011-06-23,37.13,37.13,36.47,36.82,12646500,34.96,37.0296,37.98,0,0.02
2011-06-24,36.92,37.07,36.29,36.42,11444800,34.58,37.98,36.29,0,0.04
2011-06-27,36.47,36.72,36.11,36.52,7589800,34.67,37.9124,36.11,0,0.06
2011-06-28,36.71,36.77,36.43,36.7,4856800,34.85,37.8043,36.11,0,0.06
2011-06-29,36.68,37.07,36.65,36.89,5150000,35.03,37.7026,36.11,0,0.06
2011-06-30,37.01,37.64,36.88,37.58,6429800,35.68,37.607,36.11,1,0.02
2011-07-01,37.65,38.03,37.32,37.97,6540100,36.05,36.11,38.03,1,0.04
2011-07-05,37.84,37.92,37.5,37.69,4724100,35.79,36.1868,38.03,1,0.04
2011-07-06,37.84,38,37.64,37.76,6278200,35.85,36.2605,38.03,1,0.04
2011-07-07,38.06,38.7,38.02,38.54,6997700,36.59,36.3313,38.7,1,0.06
2011-07-08,38.01,38.15,37.76,38.1,6043200,36.17,36.4734,38.7,1,0.06
2011-07-11,37.61,37.91,37.28,37.44,7548400,35.55,36.607,38.7,1,0.06
2011-07-12,37.32,37.93,37.26,37.37,6739000,35.48,36.7326,38.7,1,0.06
2011-07-13,37.58,37.68,37.15,37.3,5727500,35.42,36.8506,38.7,1,0.06
2011-07-14,37.3,37.46,36.88,36.97,6113700,35.1,36.9616,38.7,0,0.02
2011-07-15,37.03,37.09,36.54,36.82,5798600,34.96,38.7,36.54,0,0.04
2011-07-18,36.71,36.75,36.35,36.74,5875300,34.88,38.6136,36.35,0,0.06
2011-07-19,36.8,37.19,36.68,37.12,6626500,35.24,38.4778,36.35,0,0.06
2011-07-20,36.86,37.1,36.71,36.95,4815200,35.2,38.3501,36.35,0,0.06
2011-07-21,37.86,38.82,37.5,37.82,25907700,36.03,38.2301,36.35,1,0.02
2011-07-22,37.88,38,37.3,37.35,9280200,35.58,36.35,38,1,0.04
2011-07-25,37.12,37.31,36.95,37.06,5090700,35.31,36.416,38,1,0.04
2011-07-26,37.26,37.27,36.8,36.86,6365700,35.12,36.4794,38,1,0.04
2011-07-27,36.71,36.86,35.98,36.06,10394500,34.35,36.5402,38,0,0.02
2011-07-28,36.02,36.84,36.01,36.42,8919400,34.7,38,36.01,0,0.04
2011-07-29,36.07,36.54,35.97,36.35,8812700,34.63,37.9204,35.97,0,0.06
2011-08-01,36.78,37.16,36.23,36.68,11393400,34.94,37.8034,35.97,0,0.06
2011-08-02,36.35,36.96,36.25,36.35,12410100,34.63,37.6934,35.97,0,0.06
2011-08-03,36.34,36.43,35.55,36.21,12029800,34.5,37.59,35.55,0,0.08
2011-08-04,35.37,35.58,34,34,20281200,32.39,37.4268,34,0,0.1
2011-08-05,34.35,34.5,33.25,34.15,16941100,32.53,37.0841,33.25,0,0.12
2011-08-08,33.11,33.65,32.3,32.31,16815300,30.78,36.624,32.3,0,0.14
2011-08-09,32.75,33.26,31.3,33.23,20834700,31.66,36.0186,31.3,0,0.16
2011-08-10,32.69,33.08,31.82,32.06,14727700,30.54,35.2637,31.3,0,0.16
2011-08-11,31.79,33.61,31.79,33.26,13133400,31.69,34.6295,31.3,0,0.16
2011-08-12,33.46,33.7,32.9,33.25,10450200,31.68,34.0968,31.3,0,0.16
2011-08-15,33.42,34,33.21,34,7881400,32.39,33.7,31.3,1,0.02
2011-08-16,33.62,34.16,33.54,33.8,9636900,32.2,31.3,34.16,1,0.04
2011-08-17,33.91,34.76,33.87,34.38,8737100,32.75,31.4144,34.76,1,0.06
2011-08-18,33.71,33.73,32.54,32.95,12262400,31.39,31.6151,34.76,1,0.06
2011-08-19,32.5,33.16,32.35,32.37,10449800,30.84,31.8038,34.76,1,0.06
2011-08-22,33.05,33.1,32.14,32.21,9898500,30.69,31.9812,34.76,1,0.06
2011-08-23,32.26,33.4,32.18,33.39,10228100,31.81,32.14,34.76,1,0.06
2011-08-24,33.8,34.5,33.73,34.44,11902000,32.81,32.14,34.76,1,0.06
2011-08-25,34.59,34.9,33.89,33.97,9072600,32.36,32.18,34.9,1,0.08
2011-08-26,33.82,34.62,33.14,34.34,8569100,32.71,32.3976,34.9,1,0.08
2011-08-29,34.75,35.58,34.61,35.55,6822100,33.87,32.5978,35.58,1,0.1
2011-08-30,35.42,36,35.21,35.76,9001400,34.07,32.896,36,1,0.12
2011-08-31,35.83,36.32,35.66,35.91,8120400,34.21,33.2685,36.32,1,0.14
2011-09-01,35.85,36.37,35.77,35.78,8056500,34.09,33.6957,36.37,1,0.16
2011-09-02,35.59,36.08,35.38,35.43,9795900,33.75,34.1236,36.37,1,0.16
2011-09-06,34.43,35.86,34.26,35.81,11303700,34.12,34.483,36.37,0,0.02
2011-09-07,36.17,37.03,36.16,37.03,10271100,35.28,36.37,36.16,1,0.02
2011-09-08,36.72,37.46,36.51,37.02,8618800,35.27,36.16,37.46,1,0.04
2011-09-09,36.69,36.8,36.06,36.5,13548200,34.77,36.16,37.46,0,0.02
2011-09-12,36.04,36.84,36.02,36.78,8952000,35.04,37.46,36.02,0,0.04
2011-09-13,36.52,36.71,36.35,36.56,12029600,34.83,37.4024,36.02,0,0.04
2011-09-14,36.63,37.04,36.34,36.67,13832500,34.93,37.3471,36.02,0,0.04
2011-09-15,36.9,37.18,36.39,36.9,13947800,35.15,37.294,36.02,0,0.04
2011-09-16,37.12,37.21,36.17,36.22,14872400,34.51,37.2431,36.02,0,0.04
2011-09-19,35.75,35.99,35.45,35.69,10584300,34,37.21,35.45,0,0.06
2011-09-20,35.89,36.34,35.57,35.81,11193400,34.12,37.21,35.45,0,0.06
2011-09-21,35.74,36.17,35.3,35.33,8727700,33.66,37.1044,35.3,0,0.08
2011-09-22,34.33,34.88,34.19,34.61,15450300,32.97,36.96,34.19,0,0.1
2011-09-23,34.29,34.51,33.89,34.13,13772600,32.51,36.683,33.89,0,0.12
2011-09-26,34.21,34.48,33.88,34.4,7557300,32.77,36.3479,33.88,0,0.14
2011-09-27,34.91,35.43,34.31,34.69,16772700,33.05,36.0024,33.88,0,0.14
2011-09-28,34.7,35,33.95,34.02,13241900,32.41,35.7052,33.88,0,0.14
2011-09-29,34.5,34.51,33.44,34.08,10468300,32.47,35.4497,33.44,0,0.16
2011-09-30,33.68,34.18,33.5,33.59,11725500,32,35.1282,33.44,0,0.16
2011-10-03,33.51,33.87,32.95,32.97,17712400,31.41,34.8581,32.95,0,0.18
2011-10-04,32.6,33.04,32.28,33,20300000,31.44,34.5146,32.28,0,0.2
2011-10-05,33.14,33.43,32.71,33.27,14316400,31.7,34.0677,32.28,0,0.2
2011-10-06,33.13,33.79,33.13,33.75,11177000,32.15,33.7101,32.28,1,0.02
2011-10-07,33.92,34.07,33.62,33.78,8338100,32.18,32.28,34.07,1,0.04
2011-10-10,34.24,34.56,34.16,34.35,6295100,32.72,32.3516,34.56,1,0.06
2011-10-11,34.26,34.47,34.05,34.37,20192300,32.74,32.4841,34.56,1,0.06
2011-10-12,34.49,35.01,34.38,34.67,9054300,33.03,32.6087,35.01,1,0.08
2011-10-13,34.44,34.79,34.4,34.7,7503900,33.06,32.8008,35.01,1,0.08
2011-10-14,35.11,35.18,34.74,35.13,6919200,33.47,32.9775,35.18,1,0.1
2011-10-17,34.9,35.21,34.65,34.79,6849400,33.14,33.1978,35.21,1,0.12
2011-10-18,34.7,35.27,34.64,35.15,9246400,33.49,33.4392,35.27,1,0.14
2011-10-19,34.86,35.21,34.63,34.72,9288700,33.19,33.6955,35.27,1,0.14
2011-10-20,34.79,34.95,34.28,34.78,8323200,33.25,33.916,35.27,1,0.14
2011-10-21,35.14,35.55,35.05,35.55,9348000,33.99,34.1055,35.55,1,0.16
2011-10-24,35.57,36,35.45,35.81,6233800,34.24,34.28,36,1,0.18
2011-10-25,35.49,36.1,35.49,35.7,7641900,34.13,34.5896,36.1,1,0.2
2011-10-26,36.06,36.34,35.58,36.22,12946400,34.63,34.8917,36.34,1,0.2
2011-10-27,36.82,37.5,36.64,37.28,13610900,35.64,35.1813,37.5,1,0.2
2011-10-28,37.12,37.36,36.68,36.84,7706900,35.22,35.58,37.5,1,0.2
2011-10-31,36.32,36.84,36.26,36.33,7509700,34.73,35.964,37.5,1,0.2
2011-11-01,35.42,35.89,35.09,35.45,10089500,33.89,36.26,37.5,0,0.02
2011-11-02,35.95,36.09,35.57,35.77,8569300,34.2,37.5,35.57,0,0.04
2011-11-03,36.97,37.42,36.77,37.31,18324000,35.67,37.4228,35.57,0,0.04
2011-11-04,37.31,38.1,37.03,38.02,15695500,36.35,37.42,35.57,1,0.02
2011-11-07,38.05,38.35,37.75,38.23,11652500,36.55,35.57,38.35,1,0.04
2011-11-08,38.25,39.08,38.05,39.04,18018000,37.33,35.6812,39.08,1,0.06
2011-11-09,38.07,38.97,37.56,38.39,13900500,36.7,35.8851,39.08,1,0.06
2011-11-10,38.65,38.95,38,38.5,9947800,36.81,36.0768,39.08,1,0.06
2011-11-11,38.87,39.4,38.78,39.24,7942400,37.52,36.257,39.4,1,0.08
2011-11-14,39.02,39.26,38.58,38.77,7651400,37.07,36.5085,39.4,1,0.08
2011-11-15,38.83,39.25,38.69,38.95,7521400,37.24,36.7398,39.4,1,0.08
2011-11-16,38.58,39.03,38.44,38.48,9365000,36.79,36.9526,39.4,1,0.08
2011-11-17,38.34,38.88,38.15,38.48,9499600,36.79,37.1484,39.4,1,0.08
2011-11-18,38.54,38.62,37.95,38.16,11573800,36.48,37.3285,39.4,1,0.08
2011-11-21,37.78,38.15,37.56,37.72,11052900,36.06,37.4942,39.4,1,0.08
2011-11-22,37.59,38.07,37.53,37.6,7906300,35.95,37.56,39.4,0,0.02
2011-11-23,37.42,37.52,36.91,37.04,11799700,35.41,39.4,36.91,0,0.04
2011-11-25,36.92,37.23,36.85,36.85,4440800,35.23,39.3004,36.85,0,0.06
2011-11-28,37.6,37.87,37.12,37.38,9328200,35.74,39.1534,36.85,0,0.06
2011-11-29,37.68,37.84,37.41,37.68,6237400,36.02,39.0152,36.85,0,0.06
2011-11-30,38.67,39.3,38.62,38.84,13872900,37.13,38.8853,36.85,1,0.02
2011-12-01,38.66,39.12,38.39,38.48,9832200,36.79,36.85,39.12,1,0.04
2011-12-02,38.72,38.81,38.2,38.29,9786500,36.61,36.9408,39.12,1,0.04
2011-12-05,38.65,38.75,38.19,38.33,8308500,36.65,37.028,39.12,1,0.04
2011-12-06,38.23,38.45,38.06,38.27,6176200,36.59,37.1116,39.12,1,0.04
2011-12-07,38.31,38.5,37.88,38.32,8656000,36.64,37.192,39.12,1,0.04
2011-12-08,38.07,38.44,37.61,37.7,8072000,36.04,37.2691,39.12,1,0.04
2011-12-09,37.9,38.51,37.89,38.37,6229000,36.68,37.3431,39.12,1,0.04
2011-12-12,38.28,38.28,37.76,38.15,7361800,36.47,37.4142,39.12,1,0.04
2011-12-13,38.21,38.5,37.56,37.69,9866700,36.03,37.4824,39.12,1,0.04
2011-12-14,37.67,38.02,36.98,37.04,8778000,35.41,37.5479,39.12,0,0.02
2011-12-15,37.42,37.61,37.23,37.3,8198500,35.66,39.12,37.23,0,0.04
2011-12-16,37.61,37.93,37.54,37.55,17866400,35.9,39.0444,37.23,0,0.04
2011-12-19,37.63,37.97,36.44,36.56,12202100,34.95,38.9718,36.44,0,0.06
2011-12-20,38.02,39.97,37.81,39.8,25423000,38.05,38.8199,36.44,1,0.02
2011-12-21,39.53,40.59,39.44,40.46,19554300,38.68,36.44,40.59,1,0.04
2011-12-22,40.41,41.19,40.29,40.96,10261900,39.16,36.606,41.19,1,0.06
2011-12-23,41.24,41.24,40.65,40.99,6713300,39.19,36.881,41.24,1,0.08
