Date,Open,High,Low,Close,Volume,Adj Close,SAR,EP,Trend,AF
2011-06-01,53.9,54.41,53.89,53.97,30700,53.97,0,0,1,0
2011-06-02,54.07,54.14,53.35,53.82,88200,53.82,53.35,54.41,0,0.02
2011-06-03,54.05,54.23,53.93,54.11,99900,54.11,54.41,53.93,0,0.04
2011-06-06,54.31,54.5,54.12,54.15,8400,54.15,54.3908,53.93,1,0.02
2011-06-07,54.27,54.32,53.92,54.15,21100,54.15,53.93,54.32,0,0.02
2011-06-08,54.02,54.02,53.8,53.93,10800,53.93,54.32,53.8,0,0.04
2011-06-09,54.01,54.36,53.92,54.18,26100,54.18,54.32,53.8,1,0.02
2011-06-10,53.63,53.91,53.61,53.71,33600,53.71,53.8,53.91,0,0.02
2011-06-13,53.55,53.6,53.02,53.2,24300,53.2,53.91,53.02,0,0.04
2011-06-14,53.16,53.52,53.12,53.49,16600,53.49,53.91,53.02,0,0.04
2011-06-15,53.34,53.74,53.31,53.65,17000,53.65,53.8744,53.02,0,0.04
2011-06-16,53.58,53.74,53.01,53.6,18500,53.6,53.8402,53.01,0,0.06
2011-06-17,53.56,54.03,53.56,53.99,55600,53.99,53.7904,53.01,1,0.02
2011-06-20,54.03,54.23,53.88,53.99,19400,53.99,53.01,54.23,1,0.04
2011-06-21,54.17,54.29,54.16,54.27,51900,54.27,53.0588,54.29,1,0.06
2011-06-22,54.34,54.66,54.22,54.31,69300,54.31,53.1327,54.66,1,0.08
2011-06-23,53.46,53.57,53.02,53.42,38100,53.42,53.2549,54.66,0,0.02
2011-06-24,53.23,53.25,52.56,52.6,80800,52.6,54.66,52.56,0,0.04
2011-06-27,52.53,52.64,52.36,52.44,97800,52.44,54.576,52.36,0,0.06
2011-06-28,52.58,52.76,52.45,52.64,69200,52.64,54.443,52.36,0,0.06
2011-06-29,52.8,53.04,52.75,53,36100,53,54.3181,52.36,0,0.06
2011-06-30,52.97,52.98,52.53,52.54,32900,52.54,54.2006,52.36,0,0.06
2011-07-01,52.13,52.22,51.85,52.14,289500,52.14,54.0901,51.85,0,0.08
2011-07-05,52.95,53.16,52.91,53.12,87700,53.12,53.9109,51.85,0,0.08
2011-07-06,53.52,53.79,53.51,53.55,168700,53.55,53.7461,51.85,1,0.02
2011-07-07,53.61,53.75,53.39,53.7,758600,53.7,51.85,53.75,1,0.04
2011-07-08,54.12,54.17,54.01,54.07,143100,54.07,51.926,54.17,1,0.06
2011-07-11,54.44,54.58,54.07,54.56,92400,54.56,52.0606,54.58,1,0.08
2011-07-12,54.45,55.1,54.31,54.96,138000,54.96,52.2622,55.1,1,0.1
2011-07-13,55.33,55.68,55.3,55.48,102500,55.48,52.546,55.68,1,0.12
2011-07-14,55.69,55.87,55.41,55.65,47700,55.65,52.9221,55.87,1,0.14
2011-07-15,55.54,55.89,55.5,55.88,31100,55.88,53.3348,55.89,1,0.16
2011-07-18,56.01,56.34,56.01,56.33,24300,56.33,53.7436,56.34,1,0.18
2011-07-19,56.22,56.22,55.45,55.66,89700,55.66,54.211,56.34,1,0.18
2011-07-20,55.47,56.09,55.45,56.09,8500,56.09,54.5942,56.34,1,0.18
2011-07-21,56.09,56.1,55.57,55.76,29400,55.76,54.9084,56.34,1,0.18
2011-07-22,56.08,56.33,56.08,56.15,9900,56.15,55.1661,56.34,1,0.18
2011-07-25,56.72,56.72,56.45,56.59,15000,56.59,55.3774,56.72,1,0.2
2011-07-26,56.48,56.76,56.35,56.76,38100,56.76,55.6459,56.76,1,0.2
2011-07-27,57,57.04,56.42,56.52,44600,56.52,55.8687,57.04,1,0.2
2011-07-28,56.66,56.66,56.18,56.59,38300,56.59,56.103,57.04,1,0.2
