Date,Open,High,Low,Close,Volume,Adj Close,SAR,EP,Trend,AF
2011-06-01,90.57,91.29,89.49,89.79,29400,89.79,0,0,1,0
2011-06-02,90.06,90.12,88.54,89.2,21100,89.2,88.54,91.29,0,0.02
2011-06-03,89.62,89.76,89,89.55,6100,89.55,91.29,89,0,0.04
2011-06-06,90.32,90.65,89.78,89.91,2700,89.91,91.1984,89,0,0.04
2011-06-07,90.51,90.51,89.64,90.41,7500,90.41,91.1105,89,0,0.04
2011-06-08,89.59,89.85,89.29,89.63,28100,89.63,91.026,89,0,0.04
2011-06-09,90.18,90.67,89.97,90.63,6300,90.63,90.945,89,0,0.04
2011-06-10,89.41,89.62,88.88,89.03,5400,89.03,90.8672,88.88,0,0.06
2011-06-13,88.52,88.52,87,87.43,9500,87.43,90.748,87,0,0.08
2011-06-14,87.39,88.36,87.39,88.32,2500,88.32,90.4481,87,0,0.08
2011-06-15,89.03,89.03,88.17,88.98,16500,88.98,90.1723,87,0,0.08
2011-06-16,88.33,88.58,88.07,88.56,8300,88.56,89.9185,87,0,0.08
2011-06-17,88.46,89.2,88.46,89.05,12400,89.05,89.685,87,0,0.08
2011-06-20,89.47,89.51,89.02,89.28,9000,89.28,89.4702,87,1,0.02
2011-06-21,89.43,90.07,89.43,89.95,5400,89.95,87,90.07,1,0.04
2011-06-22,90.13,90.58,89.95,89.95,20300,89.95,87.1228,90.58,1,0.06
2011-06-23,88.38,88.45,87.49,88.24,27800,88.24,87.3302,90.58,1,0.06
2011-06-24,87.72,87.72,86.49,86.54,4000,86.54,87.49,90.58,0,0.02
2011-06-27,86.05,86.44,85.68,85.69,13700,85.69,90.58,85.68,0,0.04
2011-06-28,86.06,86.4,86,86.25,2800,86.25,90.384,85.68,0,0.04
2011-06-29,86.63,87.25,86.44,87.08,8800,87.08,90.1958,85.68,0,0.04
2011-06-30,87.47,87.47,86.62,86.81,30200,86.81,90.0152,85.68,0,0.04
2011-07-01,85.26,85.71,85.16,85.5,15800,85.5,89.8418,85.16,0,0.06
2011-07-05,87.2,87.95,87.2,87.87,9700,87.87,89.5609,85.16,0,0.06
2011-07-06,88.58,88.88,88.53,88.84,5400,88.84,89.2968,85.16,0,0.06
2011-07-07,89.03,89.49,88.82,89.33,95800,89.33,89.0486,85.16,1,0.02
2011-07-08,89.92,90.08,89.63,90.01,8000,90.01,85.16,90.08,1,0.04
2011-07-11,90.31,90.89,89.41,89.54,17200,89.54,85.3568,90.89,1,0.06
2011-07-12,89.22,91.02,89.22,90.62,32300,90.62,85.6888,91.02,1,0.08
2011-07-13,91.72,92.85,91.72,92.64,33200,92.64,86.1153,92.85,1,0.1
2011-07-14,93.49,93.78,92.78,93.04,8400,93.04,86.7888,93.78,1,0.12
2011-07-15,93.39,93.72,92.97,93.72,12400,93.72,87.6277,93.78,1,0.12
2011-07-18,94.75,95.27,94.55,95.05,36900,95.05,88.366,95.27,1,0.14
2011-07-19,94.47,94.91,93,93.38,15500,93.38,89.3325,95.27,1,0.14
2011-07-20,92.2,94.68,92.2,94.68,8300,94.68,90.1638,95.27,1,0.14
2011-07-21,94.61,94.61,93.29,93.41,15500,93.41,90.8787,95.27,1,0.14
2011-07-22,94.55,94.83,94.55,94.74,2500,94.74,91.4934,95.27,1,0.14
2011-07-25,95.7,95.7,95.22,95.32,5300,95.32,92.0222,95.7,1,0.16
2011-07-26,95.21,95.93,95.08,95.93,11000,95.93,92.6106,95.93,1,0.18
2011-07-27,96.57,96.57,95.15,95.26,15400,95.26,93.2081,96.57,1,0.2
2011-07-28,95.3,95.3,94.2,95.03,40200,95.03,93.8805,96.57,1,0.2
2011-07-29,95.86,96.07,95.54,95.56,19100,95.56,94.2,96.57,1,0.2
2011-08-01,94.7,95.8,94.53,94.88,11900,94.88,94.2,96.57,1,0.2
2011-08-02,95.82,97.58,95.82,97.57,16300,97.57,94.53,97.58,1,0.2
2011-08-03,98.05,98.85,98,98.04,26300,98.04,94.53,98.85,1,0.2
2011-08-04,99.42,99.5,95.48,95.72,48900,95.72,95.394,99.5,1,0.2
2011-08-05,96.6,96.88,95.22,95.66,20200,95.66,95.48,99.5,0,0.02
2011-08-08,98.27,99.24,97.85,98.78,31400,98.78,99.5,97.85,0,0.04
