Date,Open,High,Low,Close,Volume,Adj Close,SAR,EP,Trend,AF
2011-06-01,59.9,60.34,59.43,59.5,1206100,59.5,0,0,1,0
2011-06-02,59.31,59.65,59.03,59.58,1199600,59.58,59.03,60.34,0,0.02
2011-06-03,59.01,59.37,58.79,58.99,1157700,58.99,60.34,58.79,0,0.04
2011-06-06,58.78,59.18,58.58,58.92,1443300,58.92,60.278,58.58,0,0.06
2011-06-07,59,59.76,58.9,59.49,1824200,59.49,60.1761,58.58,0,0.06
2011-06-08,59.4,59.4,58.82,58.96,1512600,58.96,60.0804,58.58,0,0.06
2011-06-09,58.96,59.9,58.71,59.8,974200,59.8,59.9903,58.58,0,0.06
2011-06-10,59.75,59.75,59.22,59.27,1038900,59.27,59.9057,58.58,0,0.06
2011-06-13,59.2,59.89,59.16,59.5,1017000,59.5,59.9,58.58,0,0.06
2011-06-14,59.74,60.5,59.48,60.08,1265200,60.08,59.89,58.58,1,0.02
2011-06-15,59.62,60.15,59.51,59.97,824000,59.97,58.58,60.15,1,0.04
2011-06-16,60.25,61.29,59.92,61.17,1350200,61.17,58.6428,61.29,1,0.06
2011-06-17,61.9,62.45,61.54,62.02,2101000,62.02,58.8016,62.45,1,0.08
2011-06-20,61.94,63.03,61.88,63,1085500,63,59.0935,63.03,1,0.1
2011-06-21,63.16,63.75,62.55,63.75,1335500,63.75,59.4872,63.75,1,0.12
2011-06-22,63.62,64.61,63.54,63.56,928400,63.56,59.9987,64.61,1,0.14
2011-06-23,63.09,64.65,62.95,64.6,1574600,64.6,60.6443,64.65,1,0.16
2011-06-24,64.4,64.58,63.58,64,767600,64,61.2852,64.65,1,0.16
2011-06-27,63.99,64.7,63.49,64.4,1073300,64.4,61.8236,64.7,1,0.18
2011-06-28,64.52,65.11,64.26,64.99,621700,64.99,62.3413,65.11,1,0.2
2011-06-29,65.14,65.37,64.26,64.6,764000,64.6,62.8951,65.37,1,0.2
2011-06-30,64.84,65.63,64.5,65.51,1188700,65.51,63.39,65.63,1,0.2
2011-07-01,65.61,66.52,65.55,66.21,1663100,66.21,63.838,66.52,1,0.2
2011-07-05,66.22,66.35,65.65,66.04,1160900,66.04,64.3744,66.52,1,0.2
2011-07-06,65.92,66.46,65.62,65.7,1187100,65.7,64.8035,66.52,1,0.2
2011-07-07,66.16,66.39,65.61,65.77,1470000,65.77,65.1468,66.52,1,0.2
2011-07-08,65.22,65.99,65.14,65.42,999000,65.42,65.4215,66.52,0,0.02
2011-07-11,64.91,65.47,64.11,64.42,1248800,64.42,66.52,64.11,0,0.04
2011-07-12,64.55,65.18,64.39,64.64,1139500,64.64,66.4236,64.11,0,0.04
2011-07-13,65,65.34,64.12,64.34,1072000,64.34,66.3311,64.11,0,0.04
2011-07-14,64.43,64.6,63.35,63.69,999700,63.69,66.2422,63.35,0,0.06
2011-07-15,63.82,64,62.63,63.09,1189300,63.09,66.0687,62.63,0,0.08
2011-07-18,62.88,62.91,61.9,62.2,1199700,62.2,65.7936,61.9,0,0.1
2011-07-19,62.52,62.87,62.02,62.36,1203700,62.36,65.4042,61.9,0,0.1
2011-07-20,62.18,62.45,61.5,61.89,1244100,61.89,65.0538,61.5,0,0.12
2011-07-21,62.23,62.51,61.61,61.9,1764100,61.9,64.6273,61.5,0,0.12
2011-07-22,62,62.59,61.97,62.19,1362000,62.19,64.2521,61.5,0,0.12
2011-07-25,61.67,62.7,61.67,62.06,853700,62.06,63.9218,61.5,0,0.12
2011-07-26,62.18,62.41,61.59,62.11,1073700,62.11,63.6312,61.5,0,0.12
2011-07-27,61.69,61.97,61.17,61.45,1767600,61.45,63.3755,61.17,0,0.14
2011-07-28,59,61.32,58.32,59.54,4579000,59.54,63.0667,58.32,0,0.16
2011-07-29,59.25,60.39,59.04,59.5,2046500,59.5,62.3072,58.32,0,0.16
2011-08-01,59.08,59.62,58.34,58.69,2232300,58.69,61.6693,58.32,0,0.16
2011-08-02,58.14,59.24,56.92,56.98,2750500,56.98,61.1334,56.92,0,0.18
2011-08-03,57.07,58.46,56.79,58.13,2079500,58.13,60.375,56.79,0,0.2
2011-08-04,57.58,58.06,56.62,56.91,3357400,56.91,59.658,56.62,0,0.2
2011-08-05,57.69,58.64,56.25,58.35,3781500,58.35,59.0504,56.25,0,0.2
2011-08-08,57.41,59.16,57.41,57.51,4917200,57.51,58.64,56.25,1,0.02
2011-08-09,58.16,59.99,57.48,59.99,4339600,59.99,56.25,59.99,1,0.04
2011-08-10,58.9,59.08,57.45,57.53,2804900,57.53,56.3996,59.99,1,0.04
2011-08-11,58.01,59.59,58.01,59.02,3398200,59.02,56.5432,59.99,1,0.04
2011-08-12,59.15,60.72,58.84,60.23,1856600,60.23,56.6811,60.72,1,0.06
2011-08-15,60.37,60.83,59.85,60.74,1492700,60.74,56.9234,60.83,1,0.08
2011-08-16,60.09,60.95,59.61,60.66,1365900,60.66,57.2359,60.95,1,0.1
2011-08-17,60.86,61.7,60.25,61.06,1411900,61.06,57.6074,61.7,1,0.12
2011-08-18,59.88,61.62,59.03,61.36,2971700,61.36,58.0985,61.7,1,0.12
2011-08-19,60.55,62.59,60.55,61.07,2355200,61.07,58.5307,62.59,1,0.14
2011-08-22,62.06,62.45,61.45,61.84,1804200,61.84,59.03,62.59,1,0.14
2011-08-23,62,63.64,61.8,63.19,3233200,63.19,59.5284,63.64,1,0.16
2011-08-24,62.87,64.8,62.86,63.96,2884900,63.96,60.1863,64.8,1,0.18
2011-08-25,63.98,64.22,62.85,62.93,1792800,62.93,61.0167,64.8,1,0.18
2011-08-26,62.81,64.16,62.22,63.93,2064600,63.93,61.6977,64.8,1,0.18
2011-08-29,64.37,65.25,63.75,65.24,1647000,65.24,62.22,65.25,1,0.2
2011-08-30,64.76,65.47,64.76,65.15,1912400,65.15,62.22,65.47,1,0.2
2011-08-31,65.44,66.02,64.54,64.88,1982400,64.88,62.87,66.02,1,0.2
2011-09-01,64.47,66.1,63.39,65.72,2186100,65.72,63.5,66.1,0,0.02
2011-09-02,64.57,66.37,64.56,65.75,2072900,65.75,66.1,64.56,1,0.02
2011-09-06,64.11,66.7,64.05,66.6,1388900,66.6,64.56,66.7,0,0.02
2011-09-07,67,68.49,66.65,68.43,1539700,68.43,66.7,66.65,1,0.02
2011-09-08,68.1,68.35,67.32,67.41,1097200,67.41,66.65,68.35,1,0.04
2011-09-09,67.24,68.25,66.91,67.29,1415700,67.29,66.65,68.35,1,0.04
2011-09-12,66.48,67.59,66.21,66.76,2005400,66.76,66.718,68.35,0,0.02
