Date,Open,High,Low,Close,Volume,Adj Close,SAR,EP,Trend,AF
2011-06-01,13.37,13.54,13.3,13.34,1632000,13.34,0,0,1,0
2011-06-02,13.34,13.39,13.15,13.29,811000,13.29,13.15,13.54,0,0.02
2011-06-03,13.33,13.58,13.32,13.52,1569300,13.52,13.54,13.32,1,0.02
2011-06-06,13.58,13.66,13.48,13.55,772200,13.55,13.32,13.66,1,0.04
2011-06-07,13.56,13.68,13.47,13.5,916300,13.5,13.32,13.68,1,0.06
2011-06-08,13.49,13.5,13.37,13.41,582500,13.41,13.3416,13.68,1,0.06
2011-06-09,13.4,13.5,13.35,13.46,1017700,13.46,13.3619,13.68,0,0.02
2011-06-10,13.33,13.35,13.2,13.21,1140900,13.21,13.68,13.2,0,0.04
2011-06-13,13.15,13.21,13.01,13.07,728500,13.07,13.6608,13.01,0,0.06
2011-06-14,13.05,13.21,13.05,13.2,612300,13.2,13.6218,13.01,0,0.06
2011-06-15,13.17,13.47,13.15,13.47,2215500,13.47,13.585,13.01,0,0.06
2011-06-16,13.43,13.51,13.39,13.5,1538400,13.5,13.5505,13.01,0,0.06
2011-06-17,13.5,13.6,13.47,13.59,882400,13.59,13.5181,13.01,1,0.02
2011-06-20,13.6,13.69,13.5,13.51,695600,13.51,13.01,13.69,1,0.04
2011-06-21,13.57,13.65,13.54,13.62,650000,13.62,13.0372,13.69,1,0.04
2011-06-22,13.64,13.75,13.63,13.65,1057000,13.65,13.0633,13.75,1,0.06
2011-06-23,13.45,13.45,13.3,13.42,1071000,13.42,13.1045,13.75,1,0.06
2011-06-24,13.39,13.39,13.17,13.17,1021900,13.17,13.1432,13.75,1,0.06
2011-06-27,13.12,13.17,12.98,13,1470100,13,13.17,13.75,0,0.02
2011-06-28,13.05,13.1,13.01,13.02,1572900,13.02,13.75,13.01,0,0.04
2011-06-29,13.09,13.2,13.06,13.17,861000,13.17,13.7204,13.01,0,0.04
2011-06-30,13.16,13.21,13.04,13.05,1046200,13.05,13.692,13.01,0,0.04
2011-07-01,12.98,12.98,12.78,12.82,2204200,12.82,13.6647,12.78,0,0.06
2011-07-05,12.97,13.1,12.96,13.06,932900,13.06,13.6116,12.78,0,0.06
2011-07-06,13.12,13.73,13.12,13.31,1797600,13.31,13.5617,12.78,1,0.02
2011-07-07,13.35,13.37,13.25,13.34,457200,13.34,12.78,13.37,1,0.04
2011-07-08,13.46,13.48,13.43,13.45,554500,13.45,12.8036,13.48,1,0.06
2011-07-11,13.56,13.65,13.47,13.65,1152800,13.65,12.8442,13.65,1,0.08
2011-07-12,13.65,13.87,13.59,13.87,1516500,13.87,12.9086,13.87,1,0.1
